SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026,GS,13-Dec-2024,112.5,112.0,112.0,112.0,112.0,112.0,112.0,2100,2.35,1,2100,100.00
20MICRONS,BE,13-Dec-2024,256.02,254.85,261.6,245.0,256.85,254.51,252.27,71224,179.68,1596,-,-
21STCENMGM,BE,13-Dec-2024,93.98,92.15,94.9,92.1,93.5,92.87,92.8,10585,9.82,169,-,-
360ONE,EQ,13-Dec-2024,1199.3,1197.95,1203.8,1173.0,1186.4,1186.6,1185.81,310022,3676.26,30262,178934,57.72
3IINFOLTD,EQ,13-Dec-2024,32.97,32.5,33.3,31.8,32.55,32.69,32.67,2225492,727.1,10215,824058,37.03
3MINDIA,EQ,13-Dec-2024,31473.3,31210.0,31679.85,31200.0,31600.0,31602.2,31484.33,2590,815.44,2034,1336,51.58
3PLAND,EQ,13-Dec-2024,59.55,61.3,65.5,60.47,64.44,64.6,64.04,392268,251.21,3818,134444,34.27
5PAISA,EQ,13-Dec-2024,498.05,495.0,497.9,488.45,493.0,494.0,493.21,19907,98.18,1902,8800,44.21
63MOONS,EQ,13-Dec-2024,871.75,836.25,889.75,832.0,856.0,852.9,858.22,973646,8356.07,23276,342131,35.14
654GS2032,GS,13-Dec-2024,101.3,101.8,101.8,101.5,101.5,101.5,101.7,105,0.11,3,105,100.00
664GS2027,GS,13-Dec-2024,99.05,99.05,99.06,99.05,99.06,99.06,99.06,200,0.2,2,200,100.00
664GS2035,GS,13-Dec-2024,99.8,98.15,98.15,98.15,98.15,98.15,98.15,3,0.0,1,3,100.00
667GS2035,GS,13-Dec-2024,101.5,101.5,101.5,100.0,100.0,100.0,100.5,201,0.2,3,201,100.00
676GS2061,GS,13-Dec-2024,100.0,98.0,98.0,97.5,97.5,97.5,97.77,47,0.05,2,47,100.00
679GS2034,GS,13-Dec-2024,102.0,99.9,99.9,99.9,99.9,99.9,99.9,100,0.1,1,100,100.00
699GS2026,GS,13-Dec-2024,100.92,101.0,101.0,101.0,101.0,101.0,101.0,2000,2.02,1,2000,100.00
699GS2051,GS,13-Dec-2024,102.99,100.98,100.98,100.98,100.98,100.98,100.98,51,0.05,2,51,100.00
702GS2027,GS,13-Dec-2024,100.4,101.4,101.4,100.0,100.47,100.47,100.37,450,0.45,7,289,64.22
