SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026,GS,20-Nov-2025,106.25,111.0,111.0,104.0,105.5,105.5,104.17,2139,2.23,8,2087,97.57
20MICRONS,EQ,20-Nov-2025,194.67,194.0,195.96,190.0,190.59,190.86,192.57,56469,108.74,2512,32076,56.80
21STCENMGM,EQ,20-Nov-2025,40.71,40.0,41.45,39.89,39.89,39.89,40.0,6984,2.79,125,6883,98.55
360ONE,EQ,20-Nov-2025,1119.2,1128.9,1144.9,1117.6,1143.0,1142.1,1134.17,1134821,12870.79,39332,323907,28.54
3IINFOLTD,EQ,20-Nov-2025,17.43,17.65,17.65,17.2,17.21,17.34,17.44,372209,64.92,1674,209529,56.29
3MINDIA,EQ,20-Nov-2025,35970.0,36240.0,36240.0,35495.0,35640.0,35685.0,35751.19,3044,1088.27,1598,1369,44.97
3PLAND,EQ,20-Nov-2025,39.66,40.5,40.5,38.8,39.4,39.4,39.36,1061,0.42,95,827,77.95
585GS2030,GS,20-Nov-2025,98.64,98.77,98.77,98.77,98.77,98.77,98.77,1,0.0,1,1,100.00
5PAISA,EQ,20-Nov-2025,333.65,333.65,360.0,325.4,357.5,356.6,347.74,1142261,3972.08,22265,169807,14.87
601GS2030,GS,20-Nov-2025,100.24,101.23,101.23,101.23,101.23,101.23,101.23,5000000,5061.5,100,5000000,100.00
633GS2035,GS,20-Nov-2025,100.0,104.0,104.0,98.0,98.0,98.0,98.0,23286,22.82,3,23286,100.00
63MOONS,EQ,20-Nov-2025,720.05,725.1,764.0,723.0,758.5,756.25,749.87,167446,1255.63,6668,68976,41.19
648GS2035,GS,20-Nov-2025,99.9,99.95,99.95,99.95,99.95,99.95,99.95,1100,1.1,2,1100,100.00
667GS2035,GS,20-Nov-2025,104.95,106.2,106.2,104.8,104.8,104.8,104.87,21,0.02,2,21,100.00
667GS2050,GS,20-Nov-2025,96.75,97.0,97.0,97.0,97.0,97.0,97.0,900,0.87,1,900,100.00
668GS2040,GS,20-Nov-2025,99.75,99.15,100.0,99.15,99.8,99.8,99.86,1400,1.4,5,1400,100.00
676GS2061,GS,20-Nov-2025,94.49,94.54,94.6,93.3,94.6,94.6,93.93,204,0.19,5,104,50.98
68GS2060,GS,20-Nov-2025,96.0,96.0,96.0,96.0,96.0,96.0,96.0,15,0.01,6,15,100.00
690GS2065,GS,20-Nov-2025,95.0,95.01,95.1,95.0,95.1,95.02,95.03,407595,387.33,267,404470,99.23
692GS2039,GS,20-Nov-2025,101.99,101.0,101.98,100.25,101.98,100.28,100.98,5152,5.2,5,5152,100.00
695GS2061,GS,20-Nov-2025,98.9,98.75,98.75,98.5,98.5,98.5,98.73,6556,6.47,7,6556,100.00
698GR2054,GS,20-Nov-2025,96.53,96.53,98.5,96.53,97.1,97.1,98.11,2272,2.23,9,2272,100.00
699GS2026,GS,20-Nov-2025,100.93,100.75,101.15,100.75,101.15,101.15,101.13,110,0.11,2,105,95.45
699GS2051,GS,20-Nov-2025,101.0,102.0,102.0,102.0,102.0,102.0,102.0,1,0.0,1,1,100.00
702GS2027,GS,20-Nov-2025,105.0,104.15,105.1,104.15,105.1,105.1,104.15,247,0.26,2,246,99.60
702GS2031,GS,20-Nov-2025,104.81,105.15,105.5,105.15,105.15,105.15,105.24,400,0.42,4,400,100.00
704GS2029,GS,20-Nov-2025,105.5,105.25,105.25,105.25,105.25,105.25,105.25,215,0.23,3,215,100.00
709GS2054,GS,20-Nov-2025,99.98,99.98,100.45,99.98,100.45,100.45,100.02,7009,7.01,5,7009,100.00
709GS2074,GS,20-Nov-2025,99.61,99.65,100.0,99.6,99.8,99.8,99.81,80979,80.83,90,78200,96.57
