SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS,EQ,03-Jul-2025,228.07,227.0,227.92,224.0,227.5,225.5,225.86,116453,263.02,2798,64720,55.58
21STCENMGM,EQ,03-Jul-2025,58.74,59.91,59.91,59.13,59.91,59.91,59.9,6905,4.14,45,6552,94.89
360ONE,EQ,03-Jul-2025,1177.2,1177.9,1235.5,1174.9,1227.0,1226.6,1210.24,931488,11273.23,31828,410978,44.12
3IINFOLTD,EQ,03-Jul-2025,24.77,24.76,24.88,24.4,24.57,24.48,24.65,410309,101.13,1883,231768,56.49
3MINDIA,EQ,03-Jul-2025,28410.0,28500.0,28820.0,28450.0,28610.0,28720.0,28669.83,4459,1278.39,1943,2535,56.85
3PLAND,EQ,03-Jul-2025,51.34,51.06,51.97,50.5,50.5,50.59,51.14,6079,3.11,366,2212,36.39
563GS2026,GS,03-Jul-2025,104.0,100.75,101.0,100.75,101.0,101.0,100.88,76,0.08,2,38,50.00
574GS2026,GS,03-Jul-2025,99.55,100.0,101.0,100.0,101.0,101.0,100.06,34,0.03,3,34,100.00
579GS2030,GS,03-Jul-2025,96.0,100.25,100.25,100.25,100.25,100.25,100.25,173,0.17,1,173,100.00
591GS2028,GS,03-Jul-2025,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100,0.1,1,100,100.00
5PAISA,EQ,03-Jul-2025,414.05,414.15,420.05,413.1,414.4,417.25,416.77,26560,110.7,2502,10859,40.88
610GS2031,GS,03-Jul-2025,101.5,101.5,101.5,101.5,101.5,101.5,101.5,769,0.78,1,769,100.00
619GS2034,GS,03-Jul-2025,101.49,100.48,100.48,100.48,100.48,100.48,100.48,99,0.1,1,99,100.00
63MOONS,EQ,03-Jul-2025,995.0,999.8,1094.0,996.0,1028.6,1024.0,1051.29,1207444,12693.77,46092,352138,29.16
654GS2032,GS,03-Jul-2025,104.25,104.3,104.3,104.3,104.3,104.3,104.3,26,0.03,1,26,100.00
662GS2051,GS,03-Jul-2025,102.35,98.0,98.0,98.0,98.0,98.0,98.0,130,0.13,2,130,100.00
664GS2027,GS,03-Jul-2025,102.5,102.5,102.5,102.5,102.5,102.5,102.5,400,0.41,1,400,100.00
667GS2050,GS,03-Jul-2025,98.5,96.53,98.49,96.53,98.49,98.49,97.52,202,0.2,3,102,50.50
676GS2061,GS,03-Jul-2025,99.73,99.74,99.74,99.7,99.7,99.7,99.71,4515,4.5,7,4515,100.00
679GS2031,GS,03-Jul-2025,102.07,103.5,103.5,103.5,103.5,103.5,103.5,25,0.03,1,25,100.00
