SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026,GS,04-Jun-2025,109.5,109.74,109.74,109.74,109.74,109.74,109.74,50,0.05,1,50,100.00
20MICRONS,EQ,04-Jun-2025,220.01,221.1,221.99,215.05,217.11,217.56,217.87,122286,266.42,3807,68511,56.03
21STCENMGM,EQ,04-Jun-2025,68.19,66.82,68.45,66.82,66.82,66.89,67.24,6925,4.66,128,6096,88.03
360ONE,EQ,04-Jun-2025,1014.15,1016.2,1033.0,1005.55,1027.0,1024.25,1023.22,419409,4291.46,17623,251285,59.91
3IINFOLTD,EQ,04-Jun-2025,24.88,24.88,24.99,24.4,24.72,24.79,24.71,265833,65.68,1454,137761,51.82
3MINDIA,EQ,04-Jun-2025,29830.0,29830.0,30300.0,29640.0,29660.0,29695.0,29931.41,5912,1769.54,2969,3280,55.48
3PLAND,EQ,04-Jun-2025,49.39,49.7,51.74,48.0,50.1,51.2,50.04,18509,9.26,558,12105,65.40
563GS2026,GS,04-Jun-2025,100.2,100.65,100.65,100.0,100.6,100.6,100.42,3,0.0,3,2,66.67
574GS2026,GS,04-Jun-2025,100.75,101.0,101.0,101.0,101.0,101.0,101.0,1,0.0,1,1,100.00
577GS2030,GS,04-Jun-2025,99.5,98.3,98.3,98.3,98.3,98.3,98.3,13,0.01,1,13,100.00
5PAISA,EQ,04-Jun-2025,405.5,406.2,408.7,400.35,402.35,404.7,405.81,23751,96.38,2174,8139,34.27
633GS2035,GS,04-Jun-2025,100.95,101.0,101.15,101.0,101.1,101.1,101.07,353,0.36,4,253,71.67
63MOONS,EQ,04-Jun-2025,843.85,851.0,860.45,833.3,845.15,842.75,845.86,101930,862.19,4946,49750,48.81
664GS2027,GS,04-Jun-2025,104.1,104.1,104.1,104.1,104.1,104.1,104.1,100,0.1,1,100,100.00
667GS2035,GS,04-Jun-2025,104.06,106.75,106.75,106.75,106.75,106.75,106.75,1,0.0,1,1,100.00
675GS2029,GS,04-Jun-2025,105.54,105.51,105.51,105.51,105.51,105.51,105.51,200,0.21,1,200,100.00
676GS2061,GS,04-Jun-2025,101.75,101.8,101.8,101.65,101.8,101.8,101.8,4915,5.0,7,4915,100.00
679GS2031,GS,04-Jun-2025,106.0,106.0,106.0,106.0,106.0,106.0,106.0,800,0.85,2,800,100.00
690GS2065,GS,04-Jun-2025,102.4,101.05,101.05,101.05,101.05,101.05,101.05,1855,1.87,1,1855,100.00
695GS2061,GS,04-Jun-2025,105.15,105.15,105.15,105.15,105.15,105.15,105.15,2000,2.1,1,2000,100.00
697GR2034,GS,04-Jun-2025,97.0,97.0,97.0,97.0,97.0,97.0,97.0,199,0.19,2,199,100.00
698GR2054,GS,04-Jun-2025,100.1,100.11,100.11,100.11,100.11,100.11,100.11,100,0.1,1,100,100.00
699GS2026,GS,04-Jun-2025,101.6,101.95,101.95,101.62,101.67,101.67,101.78,203,0.21,3,203,100.00
699GS2051,GS,04-Jun-2025,105.1,105.0,105.2,104.8,104.8,104.8,104.99,1250,1.31,8,1250,100.00
704GS2029,GS,04-Jun-2025,103.3,103.3,104.44,103.3,103.55,103.55,104.43,203617,212.64,10,200000,98.22
706GS2028,GS,04-Jun-2025,103.45,104.59,104.59,104.59,104.59,104.59,104.59,1000,1.05,1,1000,100.00
709GS2054,GS,04-Jun-2025,105.35,105.35,105.5,105.35,105.5,105.5,105.43,200,0.21,2,100,50.00
709GS2074,GS,04-Jun-2025,104.4,104.3,104.5,103.75,103.75,103.84,104.18,13319,13.88,37,13218,99.24
710GS2029,GS,04-Jun-2025,105.4,105.0,105.0,105.0,105.0,105.0,105.0,140,0.15,3,140,100.00
717GS2030,GS,04-Jun-2025,105.3,105.35,106.45,105.35,106.45,106.27,106.21,3200,3.4,4,3000,93.75
718GS2037,GS,04-Jun-2025,109.43,109.15,109.3,108.75,108.85,108.85,109.11,69755,76.11,18,69525,99.67
719GS2060,GS,04-Jun-2025,105.6,106.85,106.85,106.85,106.85,106.85,106.85,779,0.83,2,779,100.00
71GS2034,GS,04-Jun-2025,105.55,105.95,106.2,105.95,106.2,106.2,106.15,6049,6.42,6,6049,100.00
725GS2063,GS,04-Jun-2025,108.83,108.99,108.99,108.9,108.92,108.93,108.94,36111,39.34,14,36111,100.00
726GS2032,GS,04-Jun-2025,108.85,109.1,109.1,108.36,108.36,108.36,108.77,901,0.98,3,901,100.00
726GS2033,GS,04-Jun-2025,108.0,108.0,108.15,108.0,108.0,108.0,108.0,58802,63.51,8,58799,99.99
727GS2026,GS,04-Jun-2025,101.03,100.41,100.41,100.41,100.41,100.41,100.41,8,0.01,1,8,100.00
733GS2026,GS,04-Jun-2025,102.36,102.4,102.5,102.4,102.5,102.5,102.41,110,0.11,2,110,100.00
734GS2064,GS,04-Jun-2025,107.41,108.1,108.1,108.1,108.1,108.1,108.1,50700,54.81,2,50700,100.00
736GS2052,GS,04-Jun-2025,107.31,108.79,108.79,108.79,108.79,108.79,108.79,1000,1.09,1,1000,100.00
737GS2028,GS,04-Jun-2025,105.25,105.0,105.0,105.0,105.0,105.0,105.0,1393,1.46,2,1393,100.00
738GS2027,GS,04-Jun-2025,106.42,106.7,106.74,106.5,106.65,106.65,106.64,41225,43.96,35,41225,100.00
73GS2053,GS,04-Jun-2025,108.7,107.91,107.91,107.91,107.91,107.91,107.91,800,0.86,1,800,100.00
741GS2036,GS,04-Jun-2025,111.55,111.45,112.0,111.45,111.98,111.98,111.92,22434,25.11,10,22434,100.00
746GS2073,GS,04-Jun-2025,110.25,110.25,110.25,110.0,110.0,110.0,110.22,2082,2.29,5,2082,100.00
754GS2036,GS,04-Jun-2025,109.96,110.09,110.48,109.92,109.97,109.97,110.1,444363,489.24,214,439288,98.86
75GS2034,GS,04-Jun-2025,108.0,107.25,107.25,107.25,107.25,107.25,107.25,461,0.49,1,461,100.00
769GS2043,GS,04-Jun-2025,108.6,109.75,109.75,109.75,109.75,109.75,109.75,1000,1.1,1,1000,100.00
772GS2055,GS,04-Jun-2025,109.27,112.0,112.0,109.15,109.15,109.15,110.58,6,0.01,2,6,100.00
824GS2027,GS,04-Jun-2025,106.5,106.5,106.5,104.15,104.2,104.2,106.46,998,1.06,5,989,99.10
833GS2026,GS,04-Jun-2025,105.85,105.7,105.9,105.7,105.9,105.9,105.7,141,0.15,2,141,100.00
92GS2030,GS,04-Jun-2025,115.0,117.25,117.25,116.5,117.25,116.64,116.64,4254,4.96,7,4254,100.00
A2ZINFRA,BE,04-Jun-2025,16.94,17.44,17.78,16.71,17.78,17.78,17.56,320673,56.3,474,-,-
AAATECH,EQ,04-Jun-2025,87.35,89.5,89.5,87.42,89.25,88.88,88.55,41450,36.7,937,30144,72.72
