SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026,GS,11-Jun-2025,107.5,107.9,107.9,107.65,107.65,107.65,107.81,228,0.25,5,228,100.00
20MICRONS,EQ,11-Jun-2025,224.05,223.33,239.97,223.33,235.1,234.47,234.47,324681,761.29,8708,134005,41.27
21STCENMGM,EQ,11-Jun-2025,66.93,67.0,67.58,65.6,66.5,65.98,66.71,5564,3.71,239,4304,77.35
360ONE,EQ,11-Jun-2025,1062.3,1073.05,1113.8,1060.45,1090.0,1087.1,1084.37,1488940,16145.68,71375,676381,45.43
3IINFOLTD,EQ,11-Jun-2025,26.56,26.74,27.4,26.22,26.67,26.68,26.79,779725,208.92,3465,384774,49.35
3MINDIA,EQ,11-Jun-2025,29425.0,29645.0,29645.0,29250.0,29265.0,29325.0,29382.96,2791,820.08,1101,1307,46.83
3PLAND,EQ,11-Jun-2025,55.81,55.98,58.79,55.01,56.8,56.84,57.21,34139,19.53,937,19568,57.32
563GS2026,GS,11-Jun-2025,100.0,101.2,101.2,101.15,101.15,101.18,101.2,13,0.01,4,13,100.00
577GS2030,GS,11-Jun-2025,98.3,98.0,98.0,98.0,98.0,98.0,98.0,100,0.1,1,100,100.00
5PAISA,EQ,11-Jun-2025,425.35,421.7,425.95,411.0,413.55,416.25,419.85,37133,155.9,3105,17449,46.99
610GS2031,GS,11-Jun-2025,100.05,98.4,98.4,98.4,98.4,98.4,98.4,100,0.1,1,100,100.00
622GS2035,GS,11-Jun-2025,96.7,96.36,96.37,96.36,96.37,96.37,96.37,2,0.0,2,1,50.00
63MOONS,EQ,11-Jun-2025,863.0,877.0,930.0,867.05,910.5,909.25,907.56,793902,7205.14,24718,387684,48.83
664GS2027,GS,11-Jun-2025,104.1,103.0,103.0,101.45,102.14,102.14,101.98,1110,1.13,10,1100,99.10
667GS2035,GS,11-Jun-2025,105.3,108.83,108.83,105.0,107.99,107.99,105.01,1090,1.14,3,1088,99.82
667GS2050,GS,11-Jun-2025,100.3,100.3,100.3,100.3,100.3,100.3,100.3,10,0.01,1,10,100.00
675GS2029,GS,11-Jun-2025,107.0,106.25,106.25,106.25,106.25,106.25,106.25,300,0.32,1,300,100.00
676GS2061,GS,11-Jun-2025,100.65,100.75,100.75,100.6,100.6,100.61,100.69,5371,5.41,6,5371,100.00
679GS2034,GS,11-Jun-2025,103.5,103.5,103.5,103.5,103.5,103.5,103.5,400,0.41,1,400,100.00
68GS2060,GS,11-Jun-2025,101.5,99.5,103.0,99.5,101.5,101.5,101.48,23,0.02,4,22,95.65
690GS2065,GS,11-Jun-2025,100.92,100.9,100.9,100.9,100.9,100.9,100.9,571,0.58,7,571,100.00
698GR2054,GS,11-Jun-2025,101.0,104.58,104.58,104.58,104.58,104.58,104.58,1,0.0,1,1,100.00
702GS2027,GS,11-Jun-2025,102.1,102.7,103.0,102.7,103.0,103.0,102.98,43673,44.97,9,43673,100.00
702GS2031,GS,11-Jun-2025,107.15,106.8,107.95,106.75,107.95,107.95,106.76,201001,214.59,6,200000,99.50
704GS2029,GS,11-Jun-2025,103.3,103.75,103.75,103.75,103.75,103.75,103.75,400,0.42,3,400,100.00
706GS2028,GS,11-Jun-2025,103.96,104.0,104.0,103.8,104.0,104.0,104.0,20109,20.91,6,20109,100.00
709GS2054,GS,11-Jun-2025,105.99,105.99,105.99,105.9,105.99,105.98,105.99,1901,2.01,6,1901,100.00
709GS2074,GS,11-Jun-2025,102.78,103.0,103.0,102.15,102.15,102.19,102.65,172201,176.76,55,171154,99.39
710GS2029,GS,11-Jun-2025,104.66,105.0,105.24,104.8,105.0,104.88,104.97,3409,3.58,11,3409,100.00
716GS2050,GS,11-Jun-2025,104.65,104.49,104.49,104.49,104.49,104.49,104.49,94,0.1,1,94,100.00
717GS2030,GS,11-Jun-2025,106.0,105.98,105.98,105.98,105.98,105.98,105.98,154,0.16,4,154,100.00
718GS2037,GS,11-Jun-2025,108.0,108.21,108.3,108.2,108.3,108.3,108.2,10927,11.82,4,10927,100.00
719GS2060,GS,11-Jun-2025,107.02,105.0,105.8,105.0,105.8,105.8,105.2,4,0.0,3,4,100.00
71GS2034,GS,11-Jun-2025,105.15,105.2,106.1,105.0,106.1,106.1,105.23,260100,273.72,7,250100,96.16
725GS2063,GS,11-Jun-2025,107.99,104.35,104.49,103.45,103.5,103.63,103.71,256809,266.33,168,250309,97.47
726GS2032,GS,11-Jun-2025,107.41,107.99,107.99,107.0,107.5,107.49,107.46,54099,58.14,48,54089,99.98
726GS2033,GS,11-Jun-2025,107.31,107.16,107.16,107.15,107.15,107.15,107.15,25000,26.79,2,25000,100.00
732GS2030,GS,11-Jun-2025,105.65,105.65,105.65,105.65,105.65,105.65,105.65,1600,1.69,3,1600,100.00
733GS2026,GS,11-Jun-2025,103.4,103.05,103.05,103.05,103.05,103.05,103.05,2,0.0,1,2,100.00
734GS2064,GS,11-Jun-2025,107.04,107.06,107.06,106.5,106.5,106.51,106.7,333098,355.41,77,332921,99.95
