SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026,GS,25-Jun-2025,107.0,109.99,109.99,109.99,109.99,109.99,109.99,5,0.01,1,5,100.00
20MICRONS,EQ,25-Jun-2025,228.27,228.0,233.79,227.89,232.3,231.61,231.4,66339,153.51,2100,34933,52.66
21STCENMGM,EQ,25-Jun-2025,63.73,62.45,62.5,62.45,62.45,62.45,62.45,11176,6.98,125,10887,97.41
360ONE,EQ,25-Jun-2025,1147.65,1151.25,1200.0,1140.15,1198.7,1190.0,1179.8,879204,10372.88,46493,499295,56.79
3IINFOLTD,EQ,25-Jun-2025,25.04,25.15,26.05,25.15,25.85,25.82,25.79,489890,126.36,2843,268841,54.88
3MINDIA,EQ,25-Jun-2025,28415.0,28550.0,28635.0,28440.0,28490.0,28500.0,28540.31,4266,1217.53,985,3240,75.95
3PLAND,EQ,25-Jun-2025,51.3,51.0,52.98,49.41,51.7,50.44,51.06,14618,7.46,364,11672,79.85
515GS2025,GS,25-Jun-2025,98.55,101.99,101.99,98.55,98.55,98.55,100.27,100,0.1,3,50,50.00
5PAISA,EQ,25-Jun-2025,402.35,411.0,419.9,400.3,414.9,414.8,412.58,55720,229.89,4185,22977,41.24
63MOONS,EQ,25-Jun-2025,962.9,975.0,1040.0,974.95,1004.0,1000.55,1011.19,1163119,11761.35,48460,437076,37.58
667GS2035,GS,25-Jun-2025,120.99,120.0,120.0,120.0,120.0,120.0,120.0,1,0.0,1,1,100.00
667GS2050,GS,25-Jun-2025,98.7,99.0,99.0,98.8,98.8,98.8,98.89,10979,10.86,26,10979,100.00
676GS2061,GS,25-Jun-2025,100.5,99.9,99.9,99.9,99.9,99.9,99.9,997,1.0,3,997,100.00
679GS2031,GS,25-Jun-2025,105.15,105.0,105.0,105.0,105.0,105.0,105.0,1000,1.05,1,1000,100.00
679GS2034A,GS,25-Jun-2025,100.45,100.45,100.45,100.45,100.45,100.45,100.45,600,0.6,2,600,100.00
690GS2065,GS,25-Jun-2025,100.0,100.44,100.44,100.44,100.44,100.44,100.44,1231,1.24,6,1231,100.00
692GS2039,GS,25-Jun-2025,103.25,102.0,102.0,102.0,102.0,102.0,102.0,3300,3.37,1,3300,100.00
695GS2061,GS,25-Jun-2025,102.45,99.5,99.8,99.5,99.8,99.8,99.79,389,0.39,2,389,100.00
699GS2026,GS,25-Jun-2025,102.3,101.28,101.3,101.28,101.28,101.28,101.28,10002,10.13,4,10002,100.00
699GS2051,GS,25-Jun-2025,100.2,101.3,101.3,100.23,100.23,100.23,100.25,8587,8.61,6,8587,100.00
702GS2031,GS,25-Jun-2025,103.63,103.63,104.3,102.7,104.3,104.29,104.26,9100,9.49,6,8900,97.80
709GS2054,GS,25-Jun-2025,102.7,103.22,103.22,103.22,103.22,103.22,103.22,5000,5.16,2,5000,100.00
709GS2074,GS,25-Jun-2025,100.91,102.0,102.9,101.1,101.2,101.2,101.36,25911,26.26,40,25111,96.91
710GS2029,GS,25-Jun-2025,104.56,104.55,104.75,104.3,104.75,104.57,104.5,8505,8.89,6,8505,100.00
717GS2030,GS,25-Jun-2025,105.4,106.75,106.75,106.0,106.45,106.45,106.39,31000,32.98,6,31000,100.00
718GS2033,GS,25-Jun-2025,106.39,107.99,107.99,107.99,107.99,107.99,107.99,100,0.11,1,100,100.00
718GS2037,GS,25-Jun-2025,107.5,107.5,107.65,107.05,107.05,107.05,107.13,50183,53.76,28,50183,100.00
719GS2060,GS,25-Jun-2025,102.13,104.0,104.0,103.6,103.6,103.6,103.8,2,0.0,2,2,100.00
725GS2063,GS,25-Jun-2025,102.59,103.75,103.75,102.86,102.86,102.89,103.21,38813,40.06,22,34813,89.69
726GS2032,GS,25-Jun-2025,106.9,112.0,112.0,107.0,108.0,108.0,107.18,5633,6.04,7,5632,99.98
733GS2026,GS,25-Jun-2025,102.53,103.0,103.45,102.42,103.18,103.18,103.0,27102,27.91,7,27101,100.00
734GS2064,GS,25-Jun-2025,105.05,105.49,105.49,104.6,104.6,104.6,104.82,24755,25.95,21,24755,100.00
736GS2052,GS,25-Jun-2025,104.66,104.66,104.66,104.21,104.21,104.21,104.44,2000,2.09,2,2000,100.00
737GS2028,GS,25-Jun-2025,104.7,104.8,104.8,104.6,104.8,104.8,104.7,600,0.63,4,600,100.00
738GS2027,GS,25-Jun-2025,103.11,103.6,103.6,103.08,103.2,103.18,103.35,61982,64.06,105,61382,99.03
73GS2053,GS,25-Jun-2025,104.3,104.3,104.3,104.0,104.0,104.0,104.28,218857,228.21,10,218136,99.67
740IIFCL33,N1,25-Jun-2025,1146.25,1125.37,1125.37,1125.37,1125.37,1125.37,1125.37,200,2.25,1,200,100.00
741GS2036,GS,25-Jun-2025,106.81,108.0,108.25,106.8,106.8,106.8,108.06,40500,43.76,23,38000,93.83
746GS2073,GS,25-Jun-2025,106.89,108.4,108.9,108.3,108.9,108.9,108.53,3,0.0,3,1,33.33
74GS2062,GS,25-Jun-2025,106.11,106.11,106.47,106.0,106.0,106.0,106.04,74182,78.66,26,74182,100.00
754GS2036,GS,25-Jun-2025,108.88,109.0,109.1,108.86,109.05,109.04,109.04,413952,451.39,103,413668,99.93
772GS2049,GS,25-Jun-2025,106.52,103.85,105.5,103.85,105.5,105.5,104.68,12,0.01,2,6,50.00
824GS2027,GS,25-Jun-2025,106.0,106.0,106.0,106.0,106.0,106.0,106.0,101,0.11,2,101,100.00
828GS2032,GS,25-Jun-2025,112.0,112.0,112.0,112.0,112.0,112.0,112.0,10000,11.2,1,10000,100.00
92GS2030,GS,25-Jun-2025,114.98,115.51,116.5,115.51,115.51,115.51,116.32,245,0.28,3,245,100.00
A2ZINFRA,BE,25-Jun-2025,19.99,20.38,20.95,19.63,20.4,20.37,20.43,382980,78.26,463,-,-
AAATECH,EQ,25-Jun-2025,84.81,85.64,87.51,83.5,84.9,84.76,85.54,29413,25.16,1594,12679,43.11
AADHARHFC,EQ,25-Jun-2025,434.25,434.25,443.8,430.3,441.25,441.5,437.95,368423,1613.5,14919,201601,54.72
AAKASH,BE,25-Jun-2025,12.73,12.73,13.09,12.09,12.09,12.11,12.23,916424,112.11,1890,-,-
AAREYDRUGS,BE,25-Jun-2025,61.96,64.25,65.05,61.02,63.49,62.2,63.22,256382,162.08,663,-,-
AARON,EQ,25-Jun-2025,376.55,380.0,381.5,372.2,374.15,374.6,376.11,5585,21.01,705,2555,45.75
AARTECH,EQ,25-Jun-2025,69.74,70.11,73.22,68.51,72.5,73.01,71.98,547739,394.29,3363,188565,34.43
AARTIDRUGS,EQ,25-Jun-2025,438.4,439.0,455.5,435.6,453.5,451.8,446.18,318772,1422.31,18181,124403,39.03
AARTIIND,EQ,25-Jun-2025,454.2,456.45,473.35,455.45,471.5,470.6,468.75,2343302,10984.33,38935,722407,30.83
AARTIPHARM,EQ,25-Jun-2025,853.65,855.0,883.0,855.0,866.05,866.5,871.04,320445,2791.19,21527,140081,43.71
AARTISURF,BE,25-Jun-2025,546.65,553.9,558.9,549.0,555.75,555.2,555.44,2879,15.99,184,-,-
AARVEEDEN,BE,25-Jun-2025,144.33,145.0,147.21,145.0,147.21,147.21,146.71,13539,19.86,41,-,-
AARVI,EQ,25-Jun-2025,108.52,111.7,112.34,109.0,112.34,110.03,110.1,5773,6.36,225,3953,68.47
AATMAJ,SM,25-Jun-2025,18.25,19.55,19.55,19.55,19.55,19.55,19.55,2000,0.39,1,2000,100.00
AAVAS,EQ,25-Jun-2025,1892.8,1907.0,1922.0,1871.2,1879.0,1881.2,1902.07,66272,1260.54,10250,26865,40.54
ABAN,EQ,25-Jun-2025,58.21,58.5,59.21,57.11,57.89,57.68,58.2,94281,54.87,2023,55252,58.60
ABB,EQ,25-Jun-2025,6003.5,6051.0,6065.0,5941.0,5964.5,5966.5,5989.44,138938,8321.6,19525,62181,44.75
ABBOTINDIA,EQ,25-Jun-2025,31535.0,31560.0,31795.0,31365.0,31630.0,31680.0,31631.77,5191,1642.01,1986,2962,57.06
ABCAPITAL,EQ,25-Jun-2025,271.19,272.75,273.05,267.2,272.49,272.33,270.37,8192361,22149.84,58333,2953440,36.05
ABCOTS,SM,25-Jun-2025,429.55,454.7,454.7,420.0,434.0,434.0,428.39,4500,19.28,17,2500,55.56
ABDL,EQ,25-Jun-2025,428.65,428.65,436.75,428.35,433.0,432.45,432.97,293284,1269.85,10504,133755,45.61
ABFRL,EQ,25-Jun-2025,74.06,74.51,75.14,74.2,74.83,74.84,74.66,4267337,3186.06,16663,1968066,46.12
ABGSEC,EQ,25-Jun-2025,109.61,109.62,110.04,109.62,110.04,110.04,109.98,87,0.1,8,75,86.21
ABHAPOWER,ST,25-Jun-2025,28.9,28.9,29.45,28.9,29.05,29.05,29.11,11200,3.26,7,9600,85.71
ABINFRA,BE,25-Jun-2025,154.45,157.99,157.99,151.0,152.1,154.09,154.26,27870,42.99,198,-,-
ABLBL,BE,25-Jun-2025,153.17,153.0,160.8,152.05,156.0,154.51,157.95,3239904,5117.37,15870,-,-
ABMINTLLTD,EQ,25-Jun-2025,53.2,58.49,58.52,57.0,58.52,58.52,58.49,14529,8.5,131,9927,68.33
ABREL,EQ,25-Jun-2025,2416.3,2416.3,2446.3,2351.0,2358.0,2358.5,2398.72,99738,2392.43,12117,42629,42.74
ABSLAMC,EQ,25-Jun-2025,766.7,770.45,781.9,765.0,780.35,778.35,771.64,391577,3021.56,13886,197964,50.56
ABSLBANETF,EQ,25-Jun-2025,57.26,57.89,57.89,57.26,57.42,57.43,57.48,4720,2.71,184,3054,64.70
ABSLLIQUID,EQ,25-Jun-2025,1000.01,1000.01,1000.01,999.99,999.99,999.99,1000.0,2374,23.74,17,1545,65.08
ABSLNN50ET,EQ,25-Jun-2025,70.09,70.45,70.69,70.19,70.33,70.41,70.5,3048,2.15,199,1981,64.99
ABSLPSE,EQ,25-Jun-2025,10.08,10.11,10.16,10.03,10.1,10.07,10.09,146705,14.81,570,72837,49.65
ABSMARINE,ST,25-Jun-2025,189.5,193.25,193.25,193.25,193.25,193.25,193.25,12000,23.19,12,12000,100.00
ACC,EQ,25-Jun-2025,1847.8,1859.0,1864.4,1850.0,1854.0,1854.2,1854.5,333987,6193.79,21325,205702,61.59
ACCELYA,EQ,25-Jun-2025,1400.1,1390.2,1424.7,1390.2,1418.0,1415.1,1412.83,6380,90.14,1661,3865,60.58
ACCENTMIC,SM,25-Jun-2025,228.15,229.5,233.45,228.15,233.45,231.7,230.27,24000,55.27,41,19000,79.17
ACCPL,SM,25-Jun-2025,71.3,73.0,73.0,69.75,70.8,70.9,70.74,49200,34.8,38,37200,75.61
ACCURACY,EQ,25-Jun-2025,8.86,8.95,9.24,8.75,8.85,8.8,8.95,277405,24.82,1223,143979,51.90
ACE,EQ,25-Jun-2025,1203.8,1215.1,1233.9,1209.1,1215.0,1216.5,1220.4,192594,2350.41,15779,78073,40.54
ACEINTEG,EQ,25-Jun-2025,25.16,25.16,26.68,25.16,25.4,25.53,25.83,5007,1.29,257,2360,47.13
ACI,EQ,25-Jun-2025,615.7,620.0,638.0,617.75,633.0,635.35,630.44,142362,897.5,6938,74945,52.64
ACL,EQ,25-Jun-2025,66.1,67.74,67.74,65.7,66.2,66.13,66.09,255344,168.74,740,128120,50.18
ACLGATI,EQ,25-Jun-2025,66.34,66.45,68.88,66.44,68.6,68.32,67.71,335399,227.09,2704,202259,60.30
ACMESOLAR,EQ,25-Jun-2025,249.1,251.0,251.1,246.25,247.85,248.2,248.73,630745,1568.88,13975,186761,29.61
ACTIVEINFR,SM,25-Jun-2025,170.0,170.0,170.0,170.0,170.0,170.0,170.0,1800,3.06,3,1800,100.00
ACUTAAS,EQ,25-Jun-2025,1093.2,1090.0,1103.1,1082.0,1084.0,1086.4,1092.71,190904,2086.02,20733,140072,73.37
ADANIENSOL,EQ,25-Jun-2025,851.85,856.35,863.7,847.05,852.0,850.2,851.3,2316935,19724.11,42832,1293522,55.83
ADANIENT,EQ,25-Jun-2025,2505.6,2519.9,2541.6,2512.1,2530.0,2527.2,2527.87,921346,23290.39,34059,459989,49.93
ADANIGREEN,EQ,25-Jun-2025,987.3,987.0,997.0,979.5,982.9,981.1,986.61,2294587,22638.66,52309,820502,35.76
ADANIPORTS,EQ,25-Jun-2025,1389.5,1399.7,1404.0,1385.5,1397.8,1393.1,1393.03,1915989,26690.36,88521,960783,50.15
ADANIPOWER,EQ,25-Jun-2025,546.85,549.2,559.0,548.75,559.0,557.0,554.27,3434204,19034.75,52030,1427735,41.57
ADFFOODS,EQ,25-Jun-2025,282.94,286.4,287.77,280.0,280.8,281.52,283.85,54909,155.86,3678,22195,40.42
ADL,BE,25-Jun-2025,92.16,88.42,94.2,88.42,94.2,90.81,90.77,979,0.89,19,-,-
ADOR,EQ,25-Jun-2025,1007.7,1013.0,1025.5,999.0,1023.0,1020.35,1018.92,31939,325.43,1744,23347,73.10
ADROITINFO,EQ,25-Jun-2025,10.98,11.18,11.2,10.97,11.19,11.12,11.08,21382,2.37,202,12575,58.81
ADSL,EQ,25-Jun-2025,181.17,182.99,185.4,181.06,185.1,184.96,183.66,155007,284.69,3580,68421,44.14
ADVANIHOTR,EQ,25-Jun-2025,60.65,60.65,61.6,60.12,61.19,60.99,60.97,36772,22.42,952,24208,65.83
ADVENZYMES,EQ,25-Jun-2025,328.75,331.45,339.7,325.75,327.3,327.35,330.88,282976,936.31,12968,124503,44.00
AEGISLOG,EQ,25-Jun-2025,787.4,794.0,802.5,788.45,798.0,796.1,795.48,264059,2100.55,10737,99466,37.67
AEGISVOPAK,EQ,25-Jun-2025,252.26,251.99,253.03,249.21,250.5,250.06,250.22,780274,1952.39,13767,577537,74.02
AEROENTER,EQ,25-Jun-2025,94.9,94.9,96.57,93.79,95.0,95.09,94.88,240800,228.48,3162,129636,53.84
AEROFLEX,EQ,25-Jun-2025,199.09,203.0,205.25,197.61,201.0,201.19,201.45,5543976,11168.35,45705,623164,11.24
AERON,SM,25-Jun-2025,131.1,130.0,142.0,130.0,133.8,134.25,137.49,118000,162.24,111,70000,59.32
AESTHETIK,ST,25-Jun-2025,138.5,138.0,138.0,135.0,135.0,135.4,136.54,12000,16.39,6,12000,100.00
AETHER,EQ,25-Jun-2025,773.5,765.0,783.95,765.0,778.8,778.25,778.0,93019,723.68,10323,51828,55.72
AFCONS,EQ,25-Jun-2025,438.3,439.2,444.9,436.05,437.8,437.85,439.48,715492,3144.47,17575,366413,51.21
AFFLE,EQ,25-Jun-2025,1910.8,1922.0,1952.0,1917.1,1943.0,1937.8,1937.37,619286,11997.89,12512,513965,82.99
AFFORDABLE,EQ,25-Jun-2025,464.4,467.6,470.4,450.45,460.2,457.85,457.59,19522,89.33,1705,11124,56.98
AFIL,EQ,25-Jun-2025,7.53,7.6,7.81,7.35,7.51,7.47,7.61,1521074,115.83,1726,834858,54.89
AFSL,EQ,25-Jun-2025,245.28,245.96,267.59,243.33,260.0,259.25,257.2,99717,256.48,4764,59469,59.64
AGARIND,EQ,25-Jun-2025,960.6,965.7,992.1,963.05,977.0,975.55,978.69,19955,195.3,1692,11073,55.49
AGARWALEYE,EQ,25-Jun-2025,402.25,401.0,406.95,397.25,400.0,401.85,402.42,163365,657.41,8575,85485,52.33
AGARWALTUF,ST,25-Jun-2025,120.45,120.0,120.5,119.0,120.0,120.0,120.14,25200,30.28,7,25200,100.00
AGI,EQ,25-Jun-2025,794.25,801.0,822.0,798.2,818.05,816.95,811.38,82320,667.93,7270,41318,50.19
AGIIL,EQ,25-Jun-2025,993.75,1019.9,1019.9,981.25,986.9,984.1,990.62,110416,1093.81,11170,36755,33.29
AGNI,ST,25-Jun-2025,27.3,27.8,27.8,27.75,27.8,27.8,27.79,27500,7.64,8,25000,90.91
AGRITECH,EQ,25-Jun-2025,157.08,160.9,160.9,155.36,156.33,157.12,157.93,7564,11.95,466,3569,47.18
AGROPHOS,EQ,25-Jun-2025,35.5,35.75,36.4,35.69,36.2,36.21,36.13,32480,11.74,420,19810,60.99
AGSTRA,BE,25-Jun-2025,4.38,4.46,4.46,4.46,4.46,4.46,4.46,142058,6.34,85,-,-
AHLADA,EQ,25-Jun-2025,68.74,69.0,72.0,69.0,71.5,70.89,70.42,22388,15.76,640,13228,59.09
AHLEAST,EQ,25-Jun-2025,145.51,147.64,148.79,146.0,147.79,147.68,147.21,5425,7.99,301,3548,65.40
AHLUCONT,EQ,25-Jun-2025,949.15,953.9,959.9,944.1,946.0,949.7,951.59,21304,202.73,3756,11691,54.88
AIAENG,EQ,25-Jun-2025,3277.5,3280.0,3318.8,3256.4,3299.5,3298.6,3298.64,113745,3752.04,26592,85975,75.59
AIIL,EQ,25-Jun-2025,2664.9,2687.0,2742.7,2674.4,2719.7,2719.7,2705.98,204135,5523.85,11897,102640,50.28
AILIMITED,ST,25-Jun-2025,67.45,70.8,70.8,66.0,66.5,66.15,67.46,7500,5.06,5,7500,100.00
