SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026,GS,18-Feb-2025,110.5,111.49,111.49,109.4,109.4,109.4,110.01,8720,9.59,15,6920,79.36
20MICRONS,EQ,18-Feb-2025,170.61,169.23,171.31,164.18,168.55,167.67,166.29,80277,133.49,2559,55490,69.12
21STCENMGM,BE,18-Feb-2025,71.57,70.13,70.13,70.13,70.13,70.13,70.13,147,0.1,15,-,-
360ONE,EQ,18-Feb-2025,896.4,902.0,912.0,877.15,883.5,884.65,889.17,946760,8418.26,37710,735472,77.68
3IINFOLTD,EQ,18-Feb-2025,25.37,25.37,25.74,24.3,24.4,24.53,24.72,691468,170.94,4379,355195,51.37
3MINDIA,EQ,18-Feb-2025,26930.15,26900.0,26910.05,26526.0,26650.0,26678.0,26693.06,2475,660.65,1300,1048,42.34
3PLAND,BE,18-Feb-2025,42.99,45.1,45.1,41.12,43.5,43.5,41.72,7853,3.28,104,-,-
574GS2026,GS,18-Feb-2025,100.0,98.74,100.0,98.74,98.74,98.74,98.81,18,0.02,3,18,100.00
5PAISA,EQ,18-Feb-2025,363.8,363.0,372.85,350.0,353.75,353.65,355.96,30136,107.27,2837,15221,50.51
63MOONS,EQ,18-Feb-2025,613.95,606.05,622.05,591.25,617.5,615.8,606.45,131740,798.94,5049,62997,47.82
654GS2032,GS,18-Feb-2025,99.66,99.62,99.8,99.61,99.8,99.8,99.67,55003,54.82,13,55002,100.00
664GS2027,GS,18-Feb-2025,100.9,100.65,100.65,100.65,100.65,100.65,100.65,300,0.3,3,300,100.00
667GS2035,GS,18-Feb-2025,100.0,100.0,100.0,99.6,99.6,99.6,99.6,9773,9.73,3,9772,99.99
667GS2050,GS,18-Feb-2025,96.13,96.16,97.89,96.16,96.32,96.34,96.42,6156,5.94,13,3458,56.17
675GS2029,GS,18-Feb-2025,100.0,100.45,100.45,100.45,100.45,100.45,100.45,100,0.1,1,100,100.00
676GS2061,GS,18-Feb-2025,99.99,98.9,99.99,98.9,99.99,99.99,99.97,106,0.11,4,106,100.00
679GS2031,GS,18-Feb-2025,99.55,100.0,100.0,100.0,100.0,100.0,100.0,1000,1.0,1,1000,100.00
692GS2039,GS,18-Feb-2025,101.4,101.4,101.4,101.4,101.4,101.4,101.4,100,0.1,1,100,100.00
695GS2061,GS,18-Feb-2025,99.5,100.25,100.25,100.25,100.25,100.25,100.25,100,0.1,1,100,100.00
699GS2026,GS,18-Feb-2025,102.3,102.4,102.75,102.4,102.75,102.75,102.47,48000,49.18,10,48000,100.00
699GS2051,GS,18-Feb-2025,100.02,100.0,100.09,100.0,100.09,100.09,100.0,177,0.18,2,177,100.00
702GS2027,GS,18-Feb-2025,101.36,101.65,102.5,101.65,102.5,102.5,102.33,53800,55.05,10,45600,84.76
702GS2031,GS,18-Feb-2025,101.75,103.0,103.0,103.0,103.0,103.0,103.0,10,0.01,1,10,100.00
704GS2029,GS,18-Feb-2025,102.25,102.25,102.26,102.25,102.26,102.26,102.26,200,0.2,2,200,100.00
706GS2028,GS,18-Feb-2025,102.79,103.03,103.12,103.03,103.12,103.12,103.03,4100,4.22,3,4100,100.00
709GS2054,GS,18-Feb-2025,101.2,101.6,101.6,101.0,101.3,101.3,101.28,440,0.45,6,315,71.59
709GS2074,GS,18-Feb-2025,101.5,101.5,102.35,101.5,101.8,101.8,101.89,15804,16.1,17,14802,93.66
710GS2029,GS,18-Feb-2025,104.2,104.2,104.2,103.2,103.23,103.23,103.21,7829,8.08,8,7427,94.87
