SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026,GS,09-Apr-2026,102.0,104.98,104.98,104.49,104.49,104.49,104.49,361,0.38,4,361,100.00
20MICRONS,EQ,09-Apr-2026,161.48,163.5,165.0,158.15,158.91,159.38,161.74,108034,174.73,2615,46485,43.03
21STCENMGM,EQ,09-Apr-2026,29.17,29.75,29.75,29.75,29.75,29.75,29.75,522,0.16,4,522,100.00
360ONE,EQ,09-Apr-2026,971.7,971.75,1015.95,964.6,1001.0,998.1,998.8,3056871,30532.15,105196,1845661,60.38
3IINFOLTD,EQ,09-Apr-2026,15.7,15.7,15.79,15.3,15.35,15.37,15.48,262171,40.59,997,161479,61.59
3MINDIA,EQ,09-Apr-2026,31595.0,31500.0,32060.0,30925.0,31055.0,31050.0,31106.18,9034,2810.13,2160,6726,74.45
3PLAND,EQ,09-Apr-2026,34.66,34.89,35.2,34.0,35.2,35.05,34.62,2013,0.7,86,1604,79.68
574GS2026,GS,09-Apr-2026,101.25,101.55,101.55,101.55,101.55,101.55,101.55,4,0.0,1,4,100.00
5PAISA,EQ,09-Apr-2026,302.75,302.75,306.71,299.1,299.7,300.5,301.01,44597,134.24,979,22465,50.37
601GS2030,GS,09-Apr-2026,97.7,99.5,99.5,97.7,97.7,97.7,97.88,100,0.1,3,100,100.00
610GS2031,GS,09-Apr-2026,100.5,101.0,101.0,101.0,101.0,101.0,101.0,1,0.0,1,1,100.00
633GS2035,GS,09-Apr-2026,98.75,98.75,98.75,97.95,97.95,97.95,98.04,170,0.17,2,170,100.00
63MOONS,EQ,09-Apr-2026,547.4,549.7,557.25,535.5,550.0,550.95,548.94,210614,1156.15,8090,98837,46.93
645GS2029,GS,09-Apr-2026,100.93,97.11,98.0,97.11,98.0,98.0,97.56,12,0.01,2,6,50.00
648GS2035,GS,09-Apr-2026,97.44,98.0,98.0,97.44,97.5,97.52,97.85,28605,27.99,19,28454,99.47
664GS2035,GS,09-Apr-2026,98.75,98.75,98.75,98.75,98.75,98.75,98.75,2100,2.07,1,2100,100.00
667GS2035,GS,09-Apr-2026,105.0,99.75,99.75,99.75,99.75,99.75,99.75,80,0.08,1,80,100.00
667GS2050,GS,09-Apr-2026,91.75,93.45,93.45,93.45,93.45,93.45,93.45,335,0.31,1,335,100.00
668GS2040,GS,09-Apr-2026,97.51,98.0,98.0,96.85,96.85,96.85,97.17,202,0.2,4,202,100.00
676GS2061,GS,09-Apr-2026,91.05,91.05,92.31,91.05,92.0,92.0,91.66,21464,19.67,20,21464,100.00
679GS2034A,GS,09-Apr-2026,99.5,99.5,99.5,97.51,97.51,97.51,98.51,2,0.0,2,2,100.00
68GS2060,GS,09-Apr-2026,94.0,89.36,90.5,89.35,90.5,90.5,89.74,3,0.0,3,2,66.67
690GS2065,GS,09-Apr-2026,94.23,93.7,94.4,93.7,93.97,93.9,93.84,41270,38.73,53,36748,89.04
695GS2061,GS,09-Apr-2026,92.8,92.9,92.9,92.8,92.82,92.82,92.82,15485,14.37,19,15485,100.00
697GR2034,GS,09-Apr-2026,91.0,94.0,94.0,94.0,94.0,94.0,94.0,100,0.09,1,100,100.00
699GS2026,GS,09-Apr-2026,102.66,102.66,103.0,102.66,103.0,103.0,102.83,210,0.22,4,110,52.38
699GS2051,GS,09-Apr-2026,94.29,94.99,94.99,94.25,94.25,94.25,94.27,47935,45.19,25,31005,64.68
702GS2027,GS,09-Apr-2026,102.16,102.7,103.26,102.5,103.26,103.26,102.64,14662,15.05,6,14662,100.00
704GS2029,GS,09-Apr-2026,102.26,102.26,102.26,102.26,102.26,102.26,102.26,400,0.41,2,400,100.00
709GS2054,GS,09-Apr-2026,97.0,97.0,97.0,96.5,96.5,96.5,96.86,4995,4.84,15,4995,100.00
709GS2074,GS,09-Apr-2026,94.9,94.7,95.4,94.2,95.1,95.15,95.03,41817,39.74,55,41817,100.00
710GS2029,GS,09-Apr-2026,103.52,103.63,104.0,103.63,104.0,104.0,103.84,7,0.01,2,7,100.00
717GS2030,GS,09-Apr-2026,104.06,104.5,104.5,104.06,104.15,104.16,104.17,33000,34.38,4,33000,100.00
718GS2033,GS,09-Apr-2026,101.1,100.52,103.0,100.52,102.1,102.1,102.1,101103,103.22,7,101102,100.00
718GS2037,GS,09-Apr-2026,102.97,103.15,103.5,103.1,103.3,103.1,103.1,183407,189.1,29,183240,99.91
719GS2060,GS,09-Apr-2026,93.11,94.1,94.1,94.1,94.1,94.1,94.1,286,0.27,1,286,100.00
71GS2034,GS,09-Apr-2026,100.42,100.5,100.9,100.0,100.5,100.5,100.54,111000,111.6,25,111000,100.00
724GS2055,GS,09-Apr-2026,98.2,98.2,98.6,97.5,98.6,98.6,98.33,6399,6.29,9,5899,92.19
725GS2063,GS,09-Apr-2026,97.13,97.4,97.6,96.98,97.0,97.0,97.04,296063,287.31,793,279929,94.55
726GS2029,GS,09-Apr-2026,102.85,103.8,103.8,103.8,103.8,103.8,103.8,1,0.0,1,1,100.00
