SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026,GS,25-Nov-2024,112.5,112.69,112.69,112.69,112.69,112.69,112.69,9,0.01,1,9,100.00
20MICRONS,BE,25-Nov-2024,223.5,227.95,227.95,227.95,227.95,227.95,227.95,22458,51.19,109,-,-
21STCENMGM,BE,25-Nov-2024,101.21,99.18,103.23,99.18,100.0,99.93,100.07,34995,35.02,409,-,-
360ONE,EQ,25-Nov-2024,1082.4,1099.0,1115.65,1076.5,1094.65,1092.65,1091.35,922071,10063.05,33166,669495,72.61
3IINFOLTD,EQ,25-Nov-2024,26.39,27.27,27.27,26.54,26.7,26.61,26.82,258201,69.24,1828,137145,53.12
3MINDIA,EQ,25-Nov-2024,30685.5,31100.0,32099.85,30690.0,31896.7,31890.0,31321.54,8712,2728.73,5686,2569,29.49
3PLAND,EQ,25-Nov-2024,47.1,48.04,56.52,47.21,56.52,55.59,53.33,385267,205.48,4472,145446,37.75
563GS2026,GS,25-Nov-2024,99.2,99.25,99.25,99.25,99.25,99.25,99.25,8,0.01,1,8,100.00
574GS2026,GS,25-Nov-2024,97.6,97.6,97.6,97.6,97.6,97.6,97.6,357,0.35,4,357,100.00
5PAISA,EQ,25-Nov-2024,470.6,480.0,488.95,475.2,485.0,479.85,480.74,28752,138.22,2057,11732,40.80
63MOONS,EQ,25-Nov-2024,579.2,599.0,599.0,570.9,572.1,575.95,582.52,224096,1305.4,6427,110304,49.22
654GS2032,GS,25-Nov-2024,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72,0.07,2,72,100.00
667GS2035,GS,25-Nov-2024,100.05,100.06,100.06,100.06,100.06,100.06,100.06,200,0.2,2,100,50.00
679GS2034,GS,25-Nov-2024,100.75,100.95,100.95,100.95,100.95,100.95,100.95,8000,8.08,5,8000,100.00
689GS2025,GS,25-Nov-2024,102.2,102.29,102.29,102.2,102.2,102.22,102.25,805,0.82,7,805,100.00
68GS2060,GS,25-Nov-2024,101.5,100.0,100.0,100.0,100.0,100.0,100.0,249,0.25,3,249,100.00
699GS2026,GS,25-Nov-2024,100.52,100.53,100.6,100.52,100.6,100.6,100.56,1052,1.06,5,1000,95.06
702GS2027,GS,25-Nov-2024,104.0,100.25,104.2,100.25,104.2,104.2,100.38,4112,4.13,7,4012,97.57
704GS2029,GS,25-Nov-2024,103.56,103.56,104.1,103.56,104.1,104.1,103.61,2101,2.18,4,2101,100.00
706GS2028,GS,25-Nov-2024,101.31,101.31,101.5,101.01,101.5,101.5,101.03,22200,22.43,6,22200,100.00
709GS2054,GS,25-Nov-2024,102.9,102.8,102.9,102.8,102.9,102.89,102.88,1400,1.44,4,1400,100.00
716GS2050,GS,25-Nov-2024,102.0,102.5,102.5,101.5,101.7,101.7,101.6,869,0.88,5,450,51.78
717GS2030,GS,25-Nov-2024,101.35,101.35,102.25,101.35,102.1,102.1,101.51,10341,10.5,11,10239,99.01
718GS2033,GS,25-Nov-2024,103.68,103.5,104.0,103.5,104.0,104.0,103.72,19500,20.23,6,11000,56.41
718GS2037,GS,25-Nov-2024,104.1,103.89,104.74,103.89,104.74,104.74,104.04,5634,5.86,6,4600,81.65
71GS2034,GS,25-Nov-2024,102.85,101.8,102.5,101.8,102.5,102.35,102.16,650,0.66,5,650,100.00
723GS2039,GS,25-Nov-2024,105.8,105.0,105.1,105.0,105.1,105.1,105.01,1100,1.16,2,1100,100.00
725GS2063,GS,25-Nov-2024,104.95,105.1,106.49,105.0,106.49,105.75,105.6,4602,4.86,13,3851,83.68
726GS2032,GS,25-Nov-2024,104.05,103.9,104.22,103.9,104.22,104.22,104.03,18100,18.83,7,12600,69.61
727GS2026,GS,25-Nov-2024,101.0,100.7,100.7,100.7,100.7,100.7,100.7,4,0.0,1,4,100.00
732GS2030,GS,25-Nov-2024,101.75,101.76,102.55,101.76,102.55,102.55,102.19,6050,6.18,8,4050,66.94
733GS2026,GS,25-Nov-2024,101.3,101.32,101.45,101.32,101.42,101.44,101.37,2717,2.75,4,2717,100.00
734GS2064,GS,25-Nov-2024,104.1,104.11,104.94,104.11,104.94,104.9,104.5,600,0.63,4,600,100.00
737GS2028,GS,25-Nov-2024,101.95,102.1,102.4,102.1,102.4,102.4,102.26,23355,23.88,10,23355,100.00
738GS2027,GS,25-Nov-2024,104.4,104.0,104.8,104.0,104.7,104.58,104.51,90783,94.87,20,90783,100.00
73GS2053,GS,25-Nov-2024,106.0,106.0,106.75,106.0,106.7,106.7,106.03,10300,10.92,8,10300,100.00
741GS2036,GS,25-Nov-2024,107.25,106.05,107.25,106.05,107.25,107.25,106.4,4634,4.93,7,4634,100.00
754GS2036,GS,25-Nov-2024,104.74,104.72,105.1,104.72,105.1,105.06,104.96,292290,306.79,118,284790,97.43
817GS2044,GS,25-Nov-2024,117.85,117.25,117.25,117.25,117.25,117.25,117.25,1000,1.17,1,1000,100.00
824GS2027,GS,25-Nov-2024,104.2,105.0,105.0,105.0,105.0,105.0,105.0,2916,3.06,5,2916,100.00
83GS2040,GS,25-Nov-2024,112.83,116.45,116.45,115.25,115.25,115.8,116.2,1100,1.28,4,700,63.64
897GS2030,GS,25-Nov-2024,115.12,115.32,115.32,115.32,115.32,115.32,115.32,90,0.1,1,90,100.00
