SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026,GS,10-Dec-2024,112.5,112.5,112.5,112.5,112.5,112.5,112.5,12,0.01,1,12,100.00
20MICRONS,BE,10-Dec-2024,251.77,250.98,253.85,244.0,249.9,247.54,249.81,59651,149.02,838,-,-
21STCENMGM,BE,10-Dec-2024,98.33,99.0,100.2,96.41,97.8,97.86,97.98,5268,5.16,126,-,-
360ONE,EQ,10-Dec-2024,1138.6,1140.0,1210.0,1140.0,1195.1,1198.4,1188.03,1925322,22873.35,89376,977052,50.75
3IINFOLTD,EQ,10-Dec-2024,30.73,30.5,30.78,29.86,30.09,29.99,30.17,645092,194.65,3626,343835,53.30
3MINDIA,EQ,10-Dec-2024,31126.1,31100.0,31575.05,30871.0,31160.6,31275.8,31217.92,6932,2164.03,3173,1236,17.83
3PLAND,EQ,10-Dec-2024,60.54,60.74,61.73,57.61,58.5,58.65,59.82,127068,76.01,2331,50428,39.69
515GS2025,GS,10-Dec-2024,98.33,99.15,99.15,99.0,99.0,99.0,99.11,1554,1.54,4,1554,100.00
522GS2025,GS,10-Dec-2024,101.8,101.32,101.32,101.32,101.32,101.32,101.32,249,0.25,1,249,100.00
574GS2026,GS,10-Dec-2024,98.75,100.45,100.45,100.45,100.45,100.45,100.45,3,0.0,1,3,100.00
577GS2030,GS,10-Dec-2024,95.54,96.29,96.29,96.25,96.25,96.25,96.29,104,0.1,5,100,96.15
5PAISA,EQ,10-Dec-2024,507.4,511.15,514.0,502.3,510.0,508.95,508.07,30566,155.3,2145,12393,40.55
63MOONS,EQ,10-Dec-2024,832.35,857.0,873.95,845.0,873.95,873.95,869.24,1241330,10790.09,16212,416700,33.57
