SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026,GS,01-Apr-2025,105.6,104.5,105.6,104.5,105.59,105.59,105.59,18376,19.4,20,17337,94.35
20MICRONS,EQ,01-Apr-2025,191.04,191.0,211.09,189.96,209.0,206.81,203.17,164514,334.25,5824,61408,37.33
21STCENMGM,EQ,01-Apr-2025,66.67,67.95,67.95,65.34,67.9,67.9,66.89,5539,3.71,78,4698,84.82
360ONE,EQ,01-Apr-2025,942.65,949.0,954.75,883.05,889.9,888.15,909.78,529235,4814.85,35474,211725,40.01
3IINFOLTD,EQ,01-Apr-2025,21.15,21.15,21.95,21.06,21.95,21.83,21.62,679150,146.84,2074,269302,39.65
3MINDIA,EQ,01-Apr-2025,28889.15,28701.0,28760.05,28006.05,28125.0,28231.6,28347.02,3199,906.82,1998,1476,46.14
3PLAND,EQ,01-Apr-2025,37.09,38.86,38.86,36.66,37.79,37.78,37.7,2487,0.94,89,2146,86.29
563GS2026,GS,01-Apr-2025,100.9,101.74,101.74,101.74,101.74,101.74,101.74,2,0.0,1,2,100.00
579GS2030,GS,01-Apr-2025,98.65,99.3,99.3,99.3,99.3,99.3,99.3,1000,0.99,1,1000,100.00
5PAISA,EQ,01-Apr-2025,355.35,354.5,373.95,354.5,371.95,372.15,366.59,41201,151.04,4280,16463,39.96
601GS2028,GS,01-Apr-2025,96.96,96.95,99.0,96.95,99.0,99.0,97.98,2,0.0,2,1,50.00
619GS2034,GS,01-Apr-2025,96.39,98.99,98.99,98.99,98.99,98.99,98.99,12,0.01,2,12,100.00
63MOONS,EQ,01-Apr-2025,814.1,804.0,836.0,799.55,817.0,812.65,816.29,97986,799.85,3678,43009,43.89
654GS2032,GS,01-Apr-2025,101.3,100.5,101.6,100.0,101.6,101.6,100.7,3,0.0,3,1,33.33
