VWAP,change,high,lastPrice,lastUpdatedTime,low,marketType,pChange,quantityTraded,series,symbol,totalTradedVolume,index_name
3152.32,57,3169,3169,27-Aug-2026 16:00:29,3125,N,1.83,5653906582.4,EQ,ADANIENT,1793570,NIFTY 50
424.35,7.5,427.7,424.2,27-Aug-2026 16:00:29,415,N,1.80,13967091969.75,EQ,KOTAKBANK,32914085,NIFTY 50
1705.82,22.5,1719,1714,27-Aug-2026 16:00:29,1691.2,N,1.33,3487463699,EQ,ADANIPORTS,2044450,NIFTY 50
1411.75,17.3,1420,1420,27-Aug-2026 16:00:29,1402.1,N,1.23,752762041,EQ,CIPLA,533212,NIFTY 50
410.4,4.1,412.9,411,27-Aug-2026 16:00:29,408,N,1.01,3757626093.6,EQ,BEL,9156009,NIFTY 50
316.49,2.9,319.6,316,27-Aug-2026 16:00:29,314.15,N,0.93,2540803874.3,EQ,TMPV,8028070,NIFTY 50
1444.92,13,1453.8,1443,27-Aug-2026 16:00:29,1433.1,N,0.91,16673966442.72,EQ,ICICIBANK,11539716,NIFTY 50
1588.84,14,1600,1585,27-Aug-2026 16:00:29,1571.6,N,0.89,3144848210.24,EQ,TECHM,1979336,NIFTY 50
8060.23,65,8105.5,8100,27-Aug-2026 16:00:29,7987,N,0.81,2977948696.26,EQ,EICHERMOT,369462,NIFTY 50
5128.97,39.3,5186.7,5139.3,27-Aug-2026 16:00:29,5069.5,N,0.77,5651329949.65,EQ,TITAN,1101845,NIFTY 50
1911.35,13.8,1925,1913.3,27-Aug-2026 16:00:29,1898,N,0.73,2116919515.2,EQ,SUNPHARMA,1107552,NIFTY 50
328.5,1.5,330.9,328.5,27-Aug-2026 16:00:29,325.3,N,0.46,11457377010,EQ,ETERNAL,34877860,NIFTY 50
1004.01,4,1012,1009,27-Aug-2026 16:00:29,999.1,N,0.40,1477050315.51,EQ,MAXHEALTH,1471151,NIFTY 50
8795.68,33.5,8868,8800,27-Aug-2026 16:00:29,8758.5,N,0.38,2375246996.96,EQ,APOLLOHOSP,270047,NIFTY 50
1782.82,5,1798.9,1773.2,27-Aug-2026 16:00:29,1766.5,N,0.28,1677817250.46,EQ,SBILIFE,941103,NIFTY 50
2641.66,4.5,2655.9,2631,27-Aug-2026 16:00:29,2627.9,N,0.17,1387151515.96,EQ,ASIANPAINT,525106,NIFTY 50
1259.39,1,1268.7,1256,27-Aug-2026 16:00:29,1251.4,N,0.08,8823020608.71,EQ,AXISBANK,7005789,NIFTY 50
2005.8,1,2026.6,2011,27-Aug-2026 16:00:29,1997.5,N,0.05,1055837073.6,EQ,BAJAJFINSV,526392,NIFTY 50
11742.81,0,11815,11717,27-Aug-2026 16:00:29,11674,N,0.00,3757617000.33,EQ,ULTRACEMCO,319993,NIFTY 50
