VWAP,change,high,lastPrice,lastUpdatedTime,low,marketType,pChange,quantityTraded,series,symbol,totalTradedVolume,index_name
2389.73,102.4,2417.4,2398,28-Jul-2026 16:00:29,2323,N,4.46,19711718971.49,EQ,TCS,8248513,NIFTY 50
304.19,11.65,310,307.5,28-Jul-2026 16:00:29,294.2,N,3.94,21418082084.09,EQ,ETERNAL,70410211,NIFTY 50
1627.99,55,1643.9,1630,28-Jul-2026 16:00:29,1595.8,N,3.49,8275006422.41,EQ,TECHM,5082959,NIFTY 50
1485.52,46.2,1507.2,1492.3,28-Jul-2026 16:00:29,1448.5,N,3.19,8118158827.2,EQ,NESTLEIND,5464860,NIFTY 50
1439.4,37.6,1447.8,1447,28-Jul-2026 16:00:29,1426.7,N,2.67,2334325359,EQ,CIPLA,1621735,NIFTY 50
4810.96,118.1,4860,4858.2,28-Jul-2026 16:00:29,4712.9,N,2.49,6358102193.52,EQ,TITAN,1321587,NIFTY 50
1108.55,25.8,1118.5,1105,28-Jul-2026 16:00:29,1097,N,2.39,31151247152.25,EQ,INFY,28100895,NIFTY 50
11316.99,217.5,11410.5,11401,28-Jul-2026 16:00:29,11156,N,1.94,4044884614.83,EQ,BAJAJ-AUTO,357417,NIFTY 50
1325.85,25,1342,1320.9,28-Jul-2026 16:00:29,1301,N,1.93,6877268804.4,EQ,HCLTECH,5187064,NIFTY 50
180.78,2.52,181.7,181.05,28-Jul-2026 16:00:29,178.55,N,1.41,4858111786.8,EQ,WIPRO,26873060,NIFTY 50
3267.85,41.4,3284.7,3280,28-Jul-2026 16:00:29,3222,N,1.28,7217304885.15,EQ,M&M,2208579,NIFTY 50
556.45,6.65,560.45,559.5,28-Jul-2026 16:00:29,551.2,N,1.20,1017970186.45,EQ,HDFCLIFE,1829401,NIFTY 50
1881.62,22,1893.5,1888.8,28-Jul-2026 16:00:29,1860.5,N,1.18,1599433448.6,EQ,SBILIFE,850030,NIFTY 50
2732.54,28.8,2749.8,2739,28-Jul-2026 16:00:29,2706.3,N,1.06,3503515230.84,EQ,ASIANPAINT,1282146,NIFTY 50
7833.42,80,7889,7849.5,28-Jul-2026 16:00:29,7742.5,N,1.03,3524098989.6,EQ,EICHERMOT,449880,NIFTY 50
8888.04,91.5,8945,8935,28-Jul-2026 16:00:29,8830,N,1.03,1487049084.36,EQ,APOLLOHOSP,167309,NIFTY 50
5256.77,48,5282,5278,28-Jul-2026 16:00:29,5218,N,0.92,2694352206.73,EQ,INDIGO,512549,NIFTY 50
1925.85,16,1940,1929,28-Jul-2026 16:00:29,1910.7,N,0.84,2725108563.6,EQ,BAJAJFINSV,1415016,NIFTY 50
