symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
HUHTAMAKI,—,249.79,46.9,0.99,4.15,59.3,58.8,92.0,18.0,240.98,3.0,0,0,A,2026-07-20
ICEMAKE,—,837.35,11.2,0.81,2.85,61.6,52.0,91.0,7.0,804.8,5.0,0,0,A,2026-07-20
GANDHAR,—,228.32,42.1,0.99,2.73,42.2,40.4,99.0,18.0,209.1,4.0,0,0,A,2026-07-20
NITIRAJ,—,222.72,20.8,0.92,2.67,77.1,62.8,94.0,16.0,212.01,4.0,0,1,A,2026-07-20
SHRIPISTON,Automobile and Auto Components,4233.8,24.3,0.94,2.6,80.0,52.4,96.0,2.0,4130.8,3.0,0,0,A,2026-07-20
STYLAMIND,—,3414.3,11.8,0.82,2.08,62.0,48.7,99.0,5.0,3260.0,3.0,0,0,A,2026-07-20
INDOBORAX,—,481.05,30.9,0.97,1.76,44.7,42.2,96.0,15.0,462.0,3.0,0,0,A,2026-07-20
ICICIBANK,"NIFTY BANK, NIFTY PVT BANK, NIFTY FIN SERVICE",1460.2,15.7,0.88,1.7,61.3,61.2,97.0,4.0,1439.5,3.0,0,0,A,2026-07-20
LLOYDSENT,Metals & Mining,82.23,23.0,0.93,2.67,40.1,39.6,87.0,8.0,77.05,1.0,0,1,B,2026-07-20
RADICO,NIFTY FMCG,4132.4,18.4,0.9,1.51,53.5,51.6,99.0,4.0,4088.0,2.0,0,0,B,2026-07-20
