symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
UNIDT,—,235.24,15.1,0.9,7.57,62.3,60.0,92.0,1.0,211.0,5.0,0,0,A,2026-09-23
CUBEXTUB,—,125.82,57.7,0.99,6.2,69.6,54.4,88.0,53.0,117.0,5.0,0,1,A,2026-09-23
ISFT,—,107.63,35.3,0.97,2.41,23.0,16.8,90.0,21.0,104.02,5.0,0,0,A,2026-09-23
GREENPLY,—,298.4,7.0,0.81,2.36,53.3,53.1,89.0,2.0,296.1,5.0,0,0,A,2026-09-23
DYNAMATECH,NIFTY IND DEFENCE,12561.0,18.5,0.92,1.96,46.0,41.0,97.0,6.0,12463.0,3.0,0,0,A,2026-09-23
IGPL,—,588.95,26.3,0.95,1.92,52.7,51.5,99.0,7.0,557.0,3.0,0,0,A,2026-09-23
ASAHIINDIA,Automobile and Auto Components,971.3,7.7,0.82,1.88,56.2,51.6,90.0,1.0,957.25,2.0,0,0,B,2026-09-23
