symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
CPCAP,—,156.9,62.9,0.99,5.79,63.9,58.2,88.0,22.0,146.61,3.0,0,1,A,2026-09-21
SHYAMMETL,Capital Goods,1097.5,9.0,0.85,4.32,61.4,55.4,98.0,3.0,1071.0,3.0,0,0,A,2026-09-21
AARTIPHARM,Healthcare,846.45,23.4,0.94,4.0,63.3,44.7,89.0,1.0,811.2,3.0,0,0,A,2026-09-21
STEL,—,662.75,19.9,0.92,2.23,87.1,64.1,96.0,7.0,652.55,4.0,0,0,A,2026-09-21
WELENT,Construction,784.7,33.2,0.97,2.11,56.4,49.4,93.0,5.0,772.0,4.0,0,0,A,2026-09-21
HOMEFIRST,Financial Services,1257.7,5.4,0.8,2.1,59.3,58.7,95.0,5.0,1226.1,3.0,0,0,A,2026-09-21
MATRIMONY,—,549.8,14.4,0.89,1.93,73.8,59.7,96.0,5.0,518.4,3.0,0,0,A,2026-09-21
AEGISVOPAK,NIFTY OIL AND GAS,318.3,11.6,0.88,1.72,42.3,39.4,99.0,11.0,309.2,1.0,1,1,A,2026-09-21
KPIL,Construction,1439.1,9.3,0.85,1.7,71.6,52.9,97.0,2.0,1435.0,3.0,0,0,A,2026-09-21
SOFTTECH,—,521.0,68.2,0.99,1.69,84.2,80.2,96.0,17.0,510.0,4.0,0,0,A,2026-09-21
