symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
BOSCHLTD,"NIFTY AUTO, NIFTY EV",48730.0,16.2,0.87,2.05,39.0,37.8,100.0,12.0,46775.0,3.0,1,0,A+,2026-08-18
SONAMLTD,—,60.31,11.8,0.83,7.19,73.8,56.0,96.0,10.0,57.22,5.0,0,0,A,2026-08-18
STYLEBAAZA,—,402.65,38.5,0.96,3.77,66.0,57.8,94.0,3.0,400.0,5.0,0,1,A,2026-08-18
AVALON,Capital Goods,2197.3,34.0,0.95,2.14,41.2,39.7,97.0,19.0,2055.9,4.0,0,0,A,2026-08-18
MMP,—,377.05,42.3,0.97,1.88,58.5,54.8,98.0,20.0,345.0,5.0,0,0,A,2026-08-18
APARINDS,Capital Goods,17214.0,21.6,0.91,1.65,40.0,38.8,93.0,12.0,16199.0,3.0,0,0,A,2026-08-18
TNPETRO,—,112.45,14.9,0.86,1.53,49.2,43.9,87.0,12.0,111.78,3.0,0,0,A,2026-08-18
ATALREAL,—,33.93,18.6,0.89,1.91,21.1,19.0,92.0,1.0,31.42,1.0,0,1,B,2026-08-18
PITTIENG,—,1035.8,11.5,0.82,1.83,62.3,54.1,94.0,7.0,1028.15,1.0,0,0,B,2026-08-18
RITCO,—,313.0,16.1,0.87,1.81,45.6,44.0,98.0,5.0,288.05,2.0,0,0,B,2026-08-18
