symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
MAHLIFE,—,378.9,10.8,0.8,5.58,91.6,54.4,89.0,5.0,369.0,3.0,0,0,A,2026-07-10
NORTHARC,—,325.3,15.3,0.86,3.14,58.2,49.2,99.0,8.0,309.0,4.0,0,1,A,2026-07-10
AKUMS,Healthcare,701.95,31.1,0.96,2.39,57.2,48.9,99.0,12.0,657.55,4.0,0,1,A,2026-07-10
EQUITASBNK,Financial Services,82.24,13.9,0.85,2.13,50.7,50.7,99.0,6.0,78.71,4.0,0,0,A,2026-07-10
DELHIVERY,Services,520.3,13.2,0.84,2.05,67.6,54.7,99.0,8.0,512.85,4.0,0,0,A,2026-07-10
SAILIFE,Healthcare,1265.0,11.8,0.82,2.03,57.5,49.9,98.0,3.0,1227.4,4.0,0,1,A,2026-07-10
CHOICEIN,Financial Services,835.0,21.8,0.92,1.92,28.7,28.1,97.0,12.0,819.45,3.0,0,0,A,2026-07-10
UNIPARTS,—,704.95,15.5,0.86,1.82,66.3,54.9,99.0,6.0,667.05,4.0,0,0,A,2026-07-10
SURYODAY,—,184.31,11.2,0.81,1.66,56.6,51.5,97.0,5.0,177.21,3.0,0,0,A,2026-07-10
KSL,—,959.2,11.8,0.82,2.54,60.1,53.1,97.0,12.0,933.5,2.0,0,0,B,2026-07-10
