symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
TBOTEK,"NIFTY IND TOURISM, NIFTY INTERNET",1703.7,6.3,0.82,3.57,52.4,48.1,97.0,0.0,1682.1,3.0,0,0,A,2026-09-22
ISFT,—,104.02,32.3,0.97,2.4,27.8,16.9,87.0,18.0,91.65,5.0,0,0,A,2026-09-22
TI,Fast Moving Consumer Goods,574.65,14.2,0.9,2.08,70.3,51.2,97.0,5.0,572.1,3.0,0,0,A,2026-09-22
DYNAMATECH,NIFTY IND DEFENCE,12516.0,12.3,0.88,2.04,49.3,40.4,97.0,6.0,12102.0,3.0,0,0,A,2026-09-22
GREENPLY,—,296.65,4.9,0.8,1.84,69.6,53.0,89.0,2.0,289.05,4.0,0,0,A,2026-09-22
VIDHIING,—,359.95,14.5,0.9,1.81,75.0,63.5,93.0,4.0,351.7,4.0,0,0,A,2026-09-22
AEGISVOPAK,NIFTY OIL AND GAS,301.4,9.0,0.85,1.75,40.6,39.6,94.0,5.0,296.7,2.0,1,1,A,2026-09-22
APARINDS,Capital Goods,18233.0,10.9,0.87,1.51,45.8,38.1,95.0,4.0,17919.0,3.0,0,0,A,2026-09-22
ADROITINFO,—,12.17,20.7,0.93,5.91,73.0,72.9,98.0,13.0,11.13,2.0,0,0,B,2026-09-22
NGIL,—,39.04,5.1,0.81,5.88,98.6,76.4,91.0,3.0,38.16,2.0,0,0,B,2026-09-22
