symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
KROSS,—,217.72,16.9,0.88,2.24,42.6,42.0,92.0,6.0,207.0,4.0,0,1,A,2026-08-26
LAURUSLABS,"NIFTY HEALTHCARE, NIFTY PHARMA",1887.0,21.4,0.91,1.77,61.6,56.1,99.0,3.0,1857.4,4.0,0,0,A,2026-08-26
CYIENTDLM,—,797.9,48.2,0.98,1.77,44.8,44.5,99.0,13.0,765.25,3.0,0,0,A,2026-08-26
MAZDOCK,NIFTY IND DEFENCE,2625.0,10.8,0.81,1.6,39.1,30.7,86.0,4.0,2579.4,4.0,0,0,A,2026-08-26
ETERNAL,NIFTY INTERNET,327.0,10.9,0.81,1.56,69.1,53.0,89.0,3.0,325.0,4.0,0,1,A,2026-08-26
MAXESTATES,—,558.05,30.5,0.96,2.23,57.2,53.7,96.0,24.0,555.0,2.0,0,0,B,2026-08-26
DCMNVL,—,189.18,58.7,0.99,2.11,81.3,75.2,93.0,13.0,172.7,2.0,0,0,B,2026-08-26
