symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
IGPL,—,496.65,11.2,0.85,4.98,62.0,58.1,99.0,12.0,471.05,4.0,0,0,A,2026-08-03
MANAPPURAM,Financial Services,365.0,14.5,0.89,3.64,59.7,39.8,96.0,5.0,357.3,3.0,0,0,A,2026-08-03
HDFCGROWTH,—,123.35,10.1,0.82,2.77,82.0,58.6,93.0,5.0,121.96,4.0,0,0,A,2026-08-03
GPTHEALTH,—,163.94,10.9,0.84,2.4,59.8,54.7,89.0,4.0,163.0,3.0,0,0,A,2026-08-03
RPTECH,—,883.65,17.7,0.92,2.22,45.0,43.6,99.0,14.0,822.05,3.0,0,0,A,2026-08-03
VISAKAIND,—,86.99,12.7,0.86,2.2,59.8,52.3,89.0,6.0,86.0,3.0,0,0,A,2026-08-03
AUTOBEES,—,299.32,9.2,0.8,2.19,60.5,52.3,99.0,6.0,298.07,3.0,0,0,A,2026-08-03
MARINE,—,287.75,11.3,0.85,2.17,59.6,44.3,97.0,11.0,268.0,4.0,0,0,A,2026-08-03
RATEGAIN,Information Technology,965.4,11.3,0.85,2.15,52.4,52.0,97.0,4.0,927.0,5.0,0,0,A,2026-08-03
TNIDETF,—,90.53,11.1,0.85,2.0,80.1,74.5,88.0,6.0,87.16,4.0,0,0,A,2026-08-03
