symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
LAURUSLABS,"NIFTY HEALTHCARE, NIFTY PHARMA",1915.0,22.8,0.92,9.07,77.9,59.1,98.0,4.0,1847.8,4.0,1,0,A+,2026-08-31
ETERNAL,NIFTY INTERNET,328.1,14.3,0.85,7.29,86.8,57.6,89.0,2.0,315.8,4.0,1,1,A+,2026-08-31
ATHERENERG,NIFTY EV,1717.7,32.5,0.96,3.45,35.0,32.6,100.0,15.0,1626.4,4.0,1,1,A+,2026-08-31
CRAFTSMAN,Automobile and Auto Components,11198.5,19.2,0.89,4.99,58.3,49.4,97.0,6.0,10925.0,5.0,0,0,A,2026-08-31
MAXESTATES,—,512.5,27.4,0.94,2.57,55.3,53.1,89.0,8.0,505.75,4.0,0,0,A,2026-08-31
NGIL,—,40.96,41.7,0.98,2.01,98.7,65.3,96.0,6.0,40.27,5.0,0,0,A,2026-08-31
TBOTEK,"NIFTY INTERNET, NIFTY IND TOURISM",1745.1,20.8,0.9,1.99,51.4,47.1,99.0,5.0,1651.5,2.0,1,0,A,2026-08-31
GLENMARK,"NIFTY PHARMA, NIFTY HEALTHCARE",2480.0,10.7,0.81,1.79,53.6,44.0,98.0,6.0,2452.0,3.0,1,0,A,2026-08-31
APLAPOLLO,NIFTY METAL,2223.4,22.5,0.92,1.75,59.4,50.6,97.0,7.0,2207.1,4.0,0,0,A,2026-08-31
BIL,—,852.2,14.3,0.85,1.61,91.4,80.2,87.0,2.0,848.0,3.0,0,1,A,2026-08-31
