symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
OAL,—,392.45,20.0,0.92,2.48,53.3,52.3,93.0,14.0,366.0,3.0,0,0,A,2026-07-27
ENTERO,Consumer Services,1273.4,12.0,0.83,2.33,68.3,55.4,92.0,5.0,1217.0,3.0,0,0,A,2026-07-27
PPLPHARMA,"NIFTY PHARMA, NIFTY HEALTHCARE",192.05,17.2,0.89,1.98,41.2,39.2,87.0,9.0,180.75,4.0,0,0,A,2026-07-27
EMCURE,Healthcare,1924.8,10.9,0.81,1.79,63.7,48.8,99.0,5.0,1882.1,5.0,0,1,A,2026-07-27
STOVEKRAFT,—,795.9,21.3,0.93,1.53,61.7,52.7,96.0,2.0,771.05,3.0,0,0,A,2026-07-27
RITCO,—,295.1,17.2,0.89,3.29,55.8,47.7,93.0,9.0,291.2,1.0,0,0,B,2026-07-27
LLOYDSME,NIFTY METAL,2014.9,14.4,0.86,2.75,52.8,51.9,99.0,9.0,1928.0,2.0,0,0,B,2026-07-27
GPTHEALTH,—,165.99,12.0,0.83,2.71,61.8,55.5,90.0,7.0,159.31,2.0,0,0,B,2026-07-27
MAHLOG,—,419.1,24.1,0.94,1.7,55.9,45.5,93.0,7.0,412.95,1.0,0,0,B,2026-07-27
