symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
KAPSTON,—,559.2,32.3,0.96,2.38,58.7,56.9,93.0,4.0,504.7,4.0,0,0,A,2026-08-28
SOFTTECH,—,417.4,64.7,0.99,2.3,82.5,78.6,96.0,8.0,416.0,3.0,0,0,A,2026-08-28
TTKHLTCARE,—,1134.2,15.7,0.86,2.14,62.9,53.5,93.0,4.0,1081.0,5.0,0,0,A,2026-08-28
MANAKSTEEL,—,94.79,33.9,0.96,1.98,87.1,72.1,100.0,11.0,90.88,5.0,0,1,A,2026-08-28
CRAFTSMAN,Automobile and Auto Components,11118.0,22.1,0.91,1.89,48.9,48.5,99.0,6.0,10858.0,5.0,0,0,A,2026-08-28
DEEDEV,—,606.15,40.2,0.97,1.7,62.4,56.3,91.0,2.0,604.05,4.0,0,0,A,2026-08-28
GHCLTEXTIL,—,130.79,15.0,0.86,1.65,62.6,54.0,99.0,7.0,125.0,3.0,0,0,A,2026-08-28
AETHER,Chemicals,1696.8,15.0,0.86,1.59,49.9,45.7,99.0,5.0,1664.0,4.0,0,0,A,2026-08-28
MACPOWER,—,2007.1,51.3,0.99,1.57,50.3,48.5,98.0,12.0,1876.0,4.0,0,1,A,2026-08-28
VIDHIING,—,355.7,16.0,0.87,1.56,66.9,64.2,87.0,9.0,347.9,3.0,0,0,A,2026-08-28
