symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
RISHABH,—,671.9,15.9,0.87,2.69,57.5,49.9,97.0,5.0,641.35,4.0,0,0,A,2026-08-10
GROWWNET,—,10.41,12.2,0.82,2.64,75.6,67.3,91.0,4.0,10.09,3.0,0,1,A,2026-08-10
DIVGIITTS,—,1056.2,20.9,0.91,2.34,49.5,45.2,98.0,10.0,1035.3,4.0,0,0,A,2026-08-10
GUFICBIO,—,433.0,12.1,0.81,2.23,60.9,55.0,97.0,10.0,420.65,5.0,0,0,A,2026-08-10
CONFIPET,—,82.74,15.8,0.86,2.09,46.3,43.2,96.0,6.0,81.28,5.0,0,0,A,2026-08-10
MAWANASUG,—,114.36,38.5,0.97,2.08,63.1,49.3,92.0,8.0,113.2,3.0,0,0,A,2026-08-10
DEEPAKNTR,NIFTY CHEMICALS,1779.2,13.8,0.84,1.93,48.9,46.4,93.0,5.0,1762.1,2.0,1,0,A,2026-08-10
ORCHPHARMA,—,1079.15,13.5,0.84,1.83,47.2,40.3,96.0,6.0,994.0,5.0,0,0,A,2026-08-10
RPEL,—,1313.8,13.3,0.84,1.74,59.3,55.3,96.0,3.0,1249.5,5.0,0,1,A,2026-08-10
RPPL,—,26.11,27.6,0.95,1.64,59.8,52.5,97.0,17.0,25.86,5.0,0,0,A,2026-08-10
