symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
AYMSYNTEX,—,256.25,17.4,0.92,3.8,68.2,54.7,91.0,7.0,239.1,4.0,0,0,A,2026-08-04
TI,Fast Moving Consumer Goods,491.15,11.4,0.85,3.61,56.4,51.8,89.0,9.0,465.8,3.0,0,0,A,2026-08-04
NAHARSPING,—,323.7,70.9,1.0,3.2,64.0,58.4,99.0,36.0,313.0,3.0,0,0,A,2026-08-04
TBOTEK,"NIFTY IND TOURISM, NIFTY INTERNET",1603.2,10.1,0.83,2.14,69.5,50.2,91.0,7.0,1575.6,3.0,0,0,A,2026-08-04
RPPL,—,22.92,11.1,0.85,2.12,91.9,46.3,86.0,5.0,21.67,4.0,0,0,A,2026-08-04
RAINBOW,Healthcare,1579.0,9.1,0.82,1.76,60.7,51.1,97.0,6.0,1535.0,3.0,0,0,A,2026-08-04
MANAPPURAM,Financial Services,356.6,9.0,0.81,1.66,44.6,39.3,93.0,3.0,352.0,4.0,0,0,A,2026-08-04
GLAND,NIFTY PHARMA,2583.1,18.1,0.93,1.63,59.5,54.8,98.0,4.0,2561.1,4.0,1,0,A,2026-08-04
DIVISLAB,"NIFTY PHARMA, NIFTY HEALTHCARE",8378.0,23.4,0.95,1.61,55.9,53.7,98.0,13.0,8243.0,3.0,1,0,A,2026-08-04
RATEGAIN,Information Technology,970.7,11.1,0.85,1.61,54.0,52.4,97.0,4.0,953.5,5.0,0,0,A,2026-08-04
