symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
MANGLMCEM,—,926.4,16.0,0.84,4.46,67.8,59.3,96.0,6.0,899.05,4.0,0,0,A,2026-07-03
MOREALTY,—,88.75,15.8,0.84,2.11,79.9,55.5,86.0,10.0,85.51,5.0,0,0,A,2026-07-03
5PAISA,—,387.65,24.8,0.92,2.03,52.1,51.0,90.0,16.0,382.7,3.0,0,0,A,2026-07-03
APOLLO,NIFTY IND DEFENCE,450.05,26.2,0.93,1.87,21.7,21.7,96.0,8.0,441.9,4.0,1,0,A,2026-07-03
CHOICEIN,—,800.05,20.3,0.88,1.7,33.0,27.9,93.0,13.0,789.35,4.0,0,0,A,2026-07-03
NEULANDLAB,—,18944.0,14.0,0.81,1.55,66.5,45.2,96.0,8.0,18747.0,3.0,0,0,A,2026-07-03
KKCL,—,512.75,16.6,0.84,7.79,74.8,61.8,86.0,7.0,494.0,1.0,0,0,B,2026-07-03
GINNIFILA,—,54.65,31.9,0.96,2.44,60.3,56.1,99.0,19.0,51.47,1.0,0,0,B,2026-07-03
CREDITACC,—,1557.4,20.4,0.88,1.64,52.3,50.0,98.0,12.0,1539.9,2.0,0,0,B,2026-07-03
HECPROJECT,—,139.91,15.0,0.82,1.59,68.3,52.9,86.0,10.0,135.68,1.0,0,0,B,2026-07-03
