symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
PVRINOX,NIFTY MEDIA,1231.8,20.7,0.91,2.33,55.5,48.9,99.0,5.0,1216.2,4.0,1,0,A+,2026-08-24
STEL,—,617.6,11.5,0.82,3.89,81.0,72.9,94.0,9.0,600.0,3.0,0,0,A,2026-08-24
BSLGOLDETF,—,141.38,13.6,0.85,2.9,79.8,67.9,91.0,8.0,140.33,4.0,0,0,A,2026-08-24
SHRIPISTON,Automobile and Auto Components,4746.8,13.4,0.84,2.64,56.9,52.0,99.0,7.0,4557.2,3.0,0,0,A,2026-08-24
DPABHUSHAN,—,1533.3,32.0,0.95,2.14,46.4,45.1,89.0,7.0,1490.0,5.0,0,0,A,2026-08-24
KDDL,—,3848.7,14.4,0.86,2.05,71.3,47.1,93.0,3.0,3815.8,4.0,0,0,A,2026-08-24
HDFCGOLD,—,137.53,13.9,0.85,1.92,58.9,57.5,90.0,8.0,132.22,4.0,0,0,A,2026-08-24
TATAGOLD,—,15.61,13.5,0.85,1.8,43.6,39.2,88.0,8.0,15.45,4.0,0,0,A,2026-08-24
EGOLD,—,160.8,13.5,0.84,4.22,95.4,76.7,87.0,8.0,159.55,1.0,0,0,B,2026-08-24
MSTCLTD,Services,730.6,11.3,0.81,2.48,49.5,47.3,98.0,16.0,695.0,2.0,0,0,B,2026-08-24
