symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
RPPL,—,23.6,9.5,0.8,4.98,54.1,48.1,89.0,8.0,23.01,5.0,0,0,A,2026-08-05
SUNDRMFAST,—,1030.45,16.7,0.9,3.89,72.7,63.1,96.0,7.0,1014.4,3.0,0,0,A,2026-08-05
KABRAEXTRU,—,454.4,88.9,1.0,3.32,53.3,39.4,99.0,26.0,415.0,3.0,0,0,A,2026-08-05
APOLLOPIPE,—,534.15,9.8,0.81,3.14,61.0,47.6,96.0,6.0,525.0,3.0,0,0,A,2026-08-05
IGPL,—,514.45,16.3,0.89,2.78,65.1,57.3,99.0,13.0,499.0,4.0,0,0,A,2026-08-05
RAINBOW,Healthcare,1598.6,11.0,0.83,2.64,62.1,51.6,99.0,7.0,1561.5,3.0,0,0,A,2026-08-05
MANAPPURAM,Financial Services,363.6,13.9,0.87,2.1,56.0,40.1,95.0,4.0,359.9,4.0,0,0,A,2026-08-05
NAHARSPING,—,328.95,65.1,1.0,1.98,79.0,59.6,99.0,35.0,318.2,4.0,0,0,A,2026-08-05
NEULANDLAB,Healthcare,19956.0,10.2,0.82,1.74,44.6,41.9,99.0,5.0,19431.0,4.0,0,0,A,2026-08-05
RAIN,Chemicals,242.68,31.7,0.97,1.7,40.2,37.5,99.0,11.0,229.52,5.0,0,0,A,2026-08-05
