symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
BLUSPRING,—,128.98,14.1,0.86,4.77,50.2,49.3,98.0,12.0,117.72,3.0,0,1,A,2026-08-21
KDDL,—,4005.4,23.2,0.92,4.71,47.3,46.3,96.0,9.0,3510.0,4.0,0,0,A,2026-08-21
KOHINOOR,—,36.59,50.1,0.99,3.47,41.6,38.9,97.0,44.0,34.5,4.0,0,0,A,2026-08-21
GOLDIETF,—,135.99,11.1,0.81,2.72,66.9,61.4,86.0,7.0,133.7,3.0,0,0,A,2026-08-21
GOLD360,—,154.8,10.9,0.81,2.62,67.7,58.3,87.0,7.0,152.1,3.0,0,1,A,2026-08-21
EPL,Capital Goods,265.61,11.8,0.83,1.89,57.4,53.4,97.0,11.0,262.4,3.0,0,0,A,2026-08-21
ORIENTBELL,—,359.45,12.6,0.84,1.78,74.0,64.0,98.0,8.0,337.0,4.0,0,0,A,2026-08-21
TATAGOLD,—,15.41,11.0,0.81,1.69,44.4,38.7,87.0,7.0,15.18,4.0,0,0,A,2026-08-21
ENDURANCE,Automobile and Auto Components,3029.5,12.8,0.84,1.67,59.7,56.5,98.0,5.0,2971.0,4.0,0,0,A,2026-08-21
STYLEBAAZA,—,417.65,40.7,0.97,1.6,64.6,59.0,93.0,5.0,417.65,4.0,0,1,A,2026-08-21
