symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
DOLPHIN,—,494.35,32.8,0.96,11.64,83.7,67.6,98.0,24.0,436.15,4.0,0,1,A,2026-08-12
GANDHITUBE,—,957.75,11.6,0.82,4.07,74.1,72.0,93.0,8.0,922.15,4.0,0,0,A,2026-08-12
KANPRPLA,—,232.45,16.2,0.87,1.93,50.4,49.5,94.0,10.0,214.5,4.0,0,0,A,2026-08-12
RISHABH,—,668.3,14.3,0.84,1.77,58.6,49.9,96.0,4.0,652.0,4.0,0,0,A,2026-08-12
ORIENTBELL,—,361.95,12.8,0.83,5.28,63.3,63.1,99.0,13.0,354.25,2.0,0,0,B,2026-08-12
TI,Fast Moving Consumer Goods,530.9,17.1,0.88,1.72,52.9,51.8,97.0,13.0,515.4,2.0,0,0,B,2026-08-12
FIEMIND,Automobile and Auto Components,2645.9,17.3,0.88,1.69,53.6,50.2,99.0,10.0,2582.0,2.0,0,0,B,2026-08-12
NGLFINE,—,3409.0,13.5,0.84,1.55,58.9,53.4,95.0,4.0,3380.0,1.0,0,0,B,2026-08-12
