symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
CGCL,Financial Services,237.06,25.2,0.95,3.57,40.2,33.5,96.0,7.0,234.1,5.0,0,0,A,2026-07-08
JBCHEPHARM,NIFTY PHARMA,2435.8,9.3,0.82,3.45,70.6,59.6,99.0,7.0,2412.1,3.0,0,0,A,2026-07-08
MOREALTY,—,87.23,11.1,0.84,2.92,81.6,59.5,87.0,6.0,86.81,5.0,0,0,A,2026-07-08
UNITDSPR,NIFTY FMCG,1408.8,9.7,0.82,2.31,66.2,56.1,95.0,5.0,1397.8,3.0,0,0,A,2026-07-08
SHREEPUSHK,—,424.65,21.8,0.94,2.18,52.8,46.0,89.0,8.0,411.05,3.0,0,0,A,2026-07-08
JAMNAAUTO,Automobile and Auto Components,132.35,12.5,0.87,2.13,52.3,43.0,87.0,1.0,130.71,4.0,0,0,A,2026-07-08
RELTD,—,179.84,40.9,0.98,1.82,43.9,41.6,94.0,14.0,178.27,3.0,0,1,A,2026-07-08
SJS,—,2216.5,10.0,0.83,1.68,56.5,50.8,97.0,2.0,2192.0,5.0,0,0,A,2026-07-08
AKUMS,Healthcare,647.35,24.3,0.95,1.58,50.0,46.3,96.0,5.0,639.7,3.0,0,1,A,2026-07-08
MARKSANS,Healthcare,263.45,19.6,0.93,1.55,38.5,37.4,94.0,2.0,259.0,5.0,0,0,A,2026-07-08
