symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
ANTHEM,Healthcare,928.5,12.5,0.88,4.86,69.5,55.8,95.0,1.0,916.55,4.0,0,1,A,2026-09-18
SOFTTECH,—,525.7,68.7,0.99,4.85,90.2,79.6,100.0,20.0,515.0,4.0,0,0,A,2026-09-18
CRAFTSMAN,Automobile and Auto Components,11138.0,5.5,0.8,3.26,68.0,48.5,93.0,0.0,10871.0,3.0,0,0,A,2026-09-18
SMARTWORKS,NIFTY IPO,547.35,12.9,0.88,2.43,83.8,58.6,88.0,2.0,519.85,4.0,0,1,A,2026-09-18
APARINDS,Capital Goods,18858.0,16.9,0.91,2.12,43.9,38.6,99.0,8.0,17745.0,3.0,0,0,A,2026-09-18
STEL,—,654.2,16.0,0.91,2.07,74.4,62.9,95.0,6.0,631.95,4.0,0,0,A,2026-09-18
PETRONET,"NIFTY OIL AND GAS, NIFTY ENERGY",292.6,5.7,0.8,1.99,80.8,60.3,90.0,1.0,284.1,4.0,1,0,A,2026-09-18
IPCALAB,"NIFTY PHARMA, NIFTY HEALTHCARE",2009.6,15.9,0.91,1.98,68.6,54.9,99.0,3.0,1964.0,2.0,1,0,A,2026-09-18
SHRIPISTON,Automobile and Auto Components,4576.6,5.8,0.81,1.91,61.2,53.6,96.0,1.0,4394.0,3.0,0,0,A,2026-09-18
PRUDENT,Financial Services,3501.6,7.2,0.83,1.77,54.5,54.3,85.0,4.0,3309.7,3.0,0,0,A,2026-09-18
