symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
AMBIKCO,—,1904.3,10.4,0.8,5.55,61.9,58.2,99.0,9.0,1823.0,3.0,0,0,A,2026-08-07
PTC,Power,203.3,11.8,0.83,4.67,57.3,55.2,89.0,16.0,195.4,4.0,0,0,A,2026-08-07
GUFICBIO,—,421.4,16.5,0.89,3.39,54.5,54.0,94.0,8.0,404.65,5.0,0,0,A,2026-08-07
AKUMS,Healthcare,697.45,14.5,0.87,2.78,56.1,54.3,98.0,3.0,665.85,4.0,0,1,A,2026-08-07
NRAIL,—,544.55,19.6,0.91,2.57,67.7,57.7,95.0,16.0,516.1,3.0,0,0,A,2026-08-07
RPPL,—,25.81,23.3,0.94,2.27,58.5,51.4,96.0,16.0,25.57,5.0,0,0,A,2026-08-07
AUTOIETF,—,30.7,10.4,0.8,2.17,83.6,60.6,100.0,7.0,30.16,4.0,0,0,A,2026-08-07
SKYGOLD,Consumer Durables,719.4,44.1,0.99,2.16,46.4,44.7,99.0,10.0,689.6,3.0,0,1,A,2026-08-07
MEDANTA,Healthcare,1455.6,10.9,0.82,2.13,75.3,52.8,98.0,5.0,1440.1,4.0,0,0,A,2026-08-07
KABRAEXTRU,—,448.6,83.1,1.0,2.04,43.5,38.2,92.0,19.0,439.5,3.0,0,0,A,2026-08-07
