symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
MOREALTY,—,90.49,16.9,0.85,3.44,77.4,57.0,88.0,11.0,88.75,5.0,0,0,A,2026-07-06
PHOENIXLTD,NIFTY REALTY,2105.8,17.3,0.86,2.66,61.3,53.7,99.0,12.0,2030.0,5.0,0,0,A,2026-07-06
OBEROIRLTY,NIFTY REALTY,1953.4,18.1,0.86,2.41,47.8,46.8,98.0,13.0,1946.0,4.0,0,0,A,2026-07-06
MANORAMA,—,1575.9,15.2,0.83,1.77,55.4,53.5,90.0,1.0,1554.9,4.0,0,1,A,2026-07-06
DLINKINDIA,—,527.0,14.4,0.82,1.75,61.7,55.2,89.0,3.0,525.9,4.0,0,0,A,2026-07-06
PRESTIGE,NIFTY REALTY,1703.5,22.9,0.91,1.72,57.2,49.4,94.0,13.0,1666.9,4.0,0,0,A,2026-07-06
VARROC,—,660.9,16.3,0.84,1.71,48.4,42.8,95.0,8.0,655.15,3.0,0,0,A,2026-07-06
APOLLO,NIFTY IND DEFENCE,423.85,18.2,0.87,1.66,24.6,22.3,91.0,2.0,418.15,5.0,0,0,A,2026-07-06
MANGLMCEM,—,947.75,13.3,0.8,1.62,70.2,59.9,98.0,8.0,926.4,5.0,0,0,A,2026-07-06
HMVL,—,90.2,43.7,0.98,1.94,74.8,70.4,90.0,6.0,87.58,2.0,0,0,B,2026-07-06
