symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
KAJARIACER,NIFTY CONSR DURBL,1236.4,15.3,0.85,2.41,60.2,57.4,94.0,4.0,1204.0,3.0,1,0,A+,2026-07-13
WANBURY,—,300.45,17.5,0.87,2.56,51.7,49.2,91.0,8.0,295.1,3.0,0,0,A,2026-07-13
SATIN,—,267.19,22.7,0.91,2.32,51.4,47.5,99.0,9.0,254.55,4.0,0,0,A,2026-07-13
GODREJPROP,NIFTY REALTY,2162.6,22.7,0.91,1.72,52.4,43.5,90.0,13.0,2110.5,3.0,0,0,A,2026-07-13
TINNARUBR,—,996.2,27.6,0.94,1.68,54.4,49.8,93.0,7.0,951.8,3.0,0,1,A,2026-07-13
