symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
INDUSINDBK,"NIFTY BANK, NIFTY PVT BANK",1022.25,12.3,0.81,2.2,59.4,47.4,98.0,9.0,1004.3,3.0,1,0,A+,2026-07-07
PHOENIXLTD,NIFTY REALTY,2075.1,15.9,0.86,3.2,74.2,55.4,97.0,9.0,2056.1,5.0,0,0,A,2026-07-07
CGCL,Financial Services,237.47,24.6,0.93,2.21,45.9,33.0,96.0,8.0,235.0,4.0,0,0,A,2026-07-07
RADICO,NIFTY FMCG,4098.6,15.1,0.85,1.65,56.6,53.0,98.0,9.0,4076.0,3.0,0,0,A,2026-07-07
SGIL,—,580.2,14.7,0.84,1.6,81.0,59.7,92.0,1.0,575.0,3.0,0,0,A,2026-07-07
PRESTIGE,NIFTY REALTY,1673.3,20.5,0.9,1.55,70.7,51.2,92.0,10.0,1659.4,4.0,0,0,A,2026-07-07
CEATLTD,Automobile and Auto Components,3915.0,20.2,0.9,2.77,49.3,48.5,88.0,12.0,3805.1,2.0,0,0,B,2026-07-07
EQUITASBNK,Financial Services,79.24,19.2,0.89,1.84,54.8,51.0,99.0,4.0,76.95,2.0,0,0,B,2026-07-07
DIAMONDYD,—,1225.1,25.0,0.94,1.72,60.1,59.0,100.0,7.0,1185.1,2.0,0,0,B,2026-07-07
ADANIENSOL,NIFTY ENERGY,1651.0,20.7,0.9,1.62,41.6,34.5,99.0,8.0,1616.0,2.0,0,0,B,2026-07-07
