key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,indicativeClose,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,date365dAgo,date30dAgo,previousDay,oneWeekAgo,oneMonthAgoVal,oneWeekAgoVal,oneYearAgoVal,previousDayVal,chart365dPath,chart30dPath,chartTodayPath
INDICES ELIGIBLE IN DERIVATIVES,NIFTY 50,NIFTY 50,24154.9,-132.75,-0.55,24223.85,24269.65,24154.9,24287.65,26373.2,22182.55,0,20.42,2.93,1.18,40,10,0,-2.9,-0.74,14-Aug-2025,17-Jul-2026,18-Aug-2026,11-Aug-2026,24334.3,24471.7,24631.3,24154.9,https://nsearchives.nseindia.com/365d/NIFTY-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-50.svg,https://nsearchives.nseindia.com/today/NIFTY-50.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY NEXT 50,NIFTY NEXT 50,74308.9,-165.2,-0.22,74406.15,74623.8,74285.05,74474.1,74878.45,59896.1,0,19.64,3.37,1.1,31,19,0,10.25,3.45,14-Aug-2025,17-Jul-2026,18-Aug-2026,11-Aug-2026,71828.4,74650.85,66511.6,74308.9,https://nsearchives.nseindia.com/365d/NIFTY-NEXT-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-NEXT-50.svg,https://nsearchives.nseindia.com/today/NIFTY-NEXT-50.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY BANK,NIFTY BANK,57262.4,-235.4,-0.41,57325.55,57584.7,57217.6,57497.8,61764.85,49954.85,0,13.55,1.71,0.71,10,4,0,2.74,-2.15,14-Aug-2025,17-Jul-2026,18-Aug-2026,11-Aug-2026,58521.4,57446.25,55341.85,57262.4,https://nsearchives.nseindia.com/365d/NIFTY-BANK.svg,https://nsearchives.nseindia.com/30d/NIFTY-BANK.svg,https://nsearchives.nseindia.com/today/NIFTY-BANK.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,26108.0,-109.15,-0.42,26132.7,26220.1,26088.15,26217.15,28562.5,23373.95,0,16.01,2.44,0.94,13,7,0,-1.88,-2.96,14-Aug-2025,17-Jul-2026,18-Aug-2026,11-Aug-2026,26903.35,26432.4,26333.45,26108.0,https://nsearchives.nseindia.com/365d/NIFTY-FIN-SERVICE.svg,https://nsearchives.nseindia.com/30d/NIFTY-FIN-SERVICE.svg,https://nsearchives.nseindia.com/today/NIFTY-FIN-SERVICE.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,14840.75,-107.85,-0.72,14914.15,14928.75,14832.25,14948.6,15078.15,12046.2,0,34.77,4.48,0.5,15,9,1,15.84,0.85,14-Aug-2025,17-Jul-2026,18-Aug-2026,11-Aug-2026,14715.4,14990.55,12639.1,14840.75,https://nsearchives.nseindia.com/365d/NIFTY-MID-SELECT.svg,https://nsearchives.nseindia.com/30d/NIFTY-MID-SELECT.svg,https://nsearchives.nseindia.com/today/NIFTY-MID-SELECT.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY INDIA FPI 150,NIFTY FPI 150,1571.95,-7.6,-0.48,1576.35,1578.2,1571.95,1579.55,1641.4,1346.5,0,22.51,3.37,1.08,98,52,0,0.0,0.49,,17-Jul-2026,18-Aug-2026,11-Aug-2026,1564.35,1589.95,0.0,1571.95,,https://nsearchives.nseindia.com/30d/NIFTY-FPI-150.svg,https://nsearchives.nseindia.com/today/NIFTY-FPI-150.svg
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25333.65,-123.65,-0.49,25398.6,25442.9,25332.15,25457.3,26975.15,22720.45,0,20.27,3.01,1.16,71,29,0,-0.62,0.02,14-Aug-2025,17-Jul-2026,18-Aug-2026,11-Aug-2026,25327.65,25625.4,25226.25,25333.65,https://nsearchives.nseindia.com/365d/NIFTY-100.svg,https://nsearchives.nseindia.com/30d/NIFTY-100.svg,https://nsearchives.nseindia.com/today/NIFTY-100.svg
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,14066.65,-67.2,-0.48,14105.0,14121.65,14065.8,14133.85,14700.95,12396.1,0,21.76,3.22,1.04,135,65,0,1.54,0.37,14-Aug-2025,17-Jul-2026,18-Aug-2026,11-Aug-2026,14014.15,14209.5,13707.7,14066.65,https://nsearchives.nseindia.com/365d/NIFTY-200.svg,https://nsearchives.nseindia.com/30d/NIFTY-200.svg,https://nsearchives.nseindia.com/today/NIFTY-200.svg
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23472.4,-92.05,-0.39,23521.85,23555.3,23470.9,23564.45,24144.2,20385.65,0,22.81,3.29,0.98,306,190,4,2.36,0.58,14-Aug-2025,17-Jul-2026,18-Aug-2026,11-Aug-2026,23336.3,23681.15,22680.25,23472.4,https://nsearchives.nseindia.com/365d/NIFTY-500.svg,https://nsearchives.nseindia.com/30d/NIFTY-500.svg,https://nsearchives.nseindia.com/today/NIFTY-500.svg
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,18216.8,-62.2,-0.34,18257.5,18273.05,18188.05,18279.0,18403.5,14804.55,0,35.83,4.43,0.53,27,23,0,12.89,1.59,14-Aug-2025,17-Jul-2026,18-Aug-2026,11-Aug-2026,17930.85,18312.35,15926.15,18216.8,https://nsearchives.nseindia.com/365d/NIFTY-MIDCAP-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-MIDCAP-50.svg,https://nsearchives.nseindia.com/today/NIFTY-MIDCAP-50.svg
