key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,indicativeClose,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,date365dAgo,date30dAgo,previousDay,oneWeekAgo,oneMonthAgoVal,oneWeekAgoVal,oneYearAgoVal,previousDayVal,chart365dPath,chart30dPath,chartTodayPath
INDICES ELIGIBLE IN DERIVATIVES,NIFTY 50,NIFTY 50,24078.5,26.45,0.11,24085.85,24220.35,24010.55,24052.05,26373.2,22182.55,0,20.75,3.1,1.25,23,27,0,-4.43,0.94,14-Jul-2025,12-Jun-2026,15-Jul-2026,08-Jul-2026,23622.9,23882.05,25082.3,24078.5,https://nsearchives.nseindia.com/365d/NIFTY-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-50.svg,https://nsearchives.nseindia.com/today/NIFTY-50.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY NEXT 50,NIFTY NEXT 50,72148.8,297.2,0.41,72108.05,72552.05,72011.9,71851.6,73141.05,59896.1,0,18.79,3.44,1.24,15,35,0,4.98,0.65,14-Jul-2025,12-Jun-2026,15-Jul-2026,08-Jul-2026,70007.2,70898.75,68285.65,72148.8,https://nsearchives.nseindia.com/365d/NIFTY-NEXT-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-NEXT-50.svg,https://nsearchives.nseindia.com/today/NIFTY-NEXT-50.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY BANK,NIFTY BANK,57757.85,295.55,0.51,57643.75,58148.8,57545.2,57462.3,61764.85,49954.85,0,14.51,1.86,0.79,5,9,0,1.32,0.98,14-Jul-2025,12-Jun-2026,15-Jul-2026,08-Jul-2026,56814.8,56742.6,56765.35,57757.85,https://nsearchives.nseindia.com/365d/NIFTY-BANK.svg,https://nsearchives.nseindia.com/30d/NIFTY-BANK.svg,https://nsearchives.nseindia.com/today/NIFTY-BANK.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,26693.35,156.65,0.59,26631.7,26900.0,26581.7,26536.7,28562.5,23373.95,0,17.06,2.69,0.97,7,13,0,-0.87,1.59,14-Jul-2025,12-Jun-2026,15-Jul-2026,08-Jul-2026,25943.35,26323.75,26802.25,26693.35,https://nsearchives.nseindia.com/365d/NIFTY-FIN-SERVICE.svg,https://nsearchives.nseindia.com/30d/NIFTY-FIN-SERVICE.svg,https://nsearchives.nseindia.com/today/NIFTY-FIN-SERVICE.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,14771.45,58.8,0.4,14751.1,14831.4,14732.4,14712.65,14859.15,12046.2,0,30.69,4.95,0.57,10,15,0,10.71,2.39,14-Jul-2025,12-Jun-2026,15-Jul-2026,08-Jul-2026,14245.6,14419.1,13169.0,14771.45,https://nsearchives.nseindia.com/365d/NIFTY-MID-SELECT.svg,https://nsearchives.nseindia.com/30d/NIFTY-MID-SELECT.svg,https://nsearchives.nseindia.com/today/NIFTY-MID-SELECT.svg
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25130.1,41.45,0.17,25133.8,25266.1,25063.7,25088.65,26975.15,22720.45,0,20.36,3.16,1.24,38,62,0,-2.78,0.89,14-Jul-2025,12-Jun-2026,15-Jul-2026,08-Jul-2026,24602.25,24883.05,25724.15,25130.1,https://nsearchives.nseindia.com/365d/NIFTY-100.svg,https://nsearchives.nseindia.com/30d/NIFTY-100.svg,https://nsearchives.nseindia.com/today/NIFTY-100.svg
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13949.7,26.3,0.19,13951.3,14018.85,13915.15,13923.4,14700.95,12396.1,0,21.8,3.4,1.11,82,117,1,-1.18,1.17,14-Jul-2025,12-Jun-2026,15-Jul-2026,08-Jul-2026,13618.55,13767.7,14036.8,13949.7,https://nsearchives.nseindia.com/365d/NIFTY-200.svg,https://nsearchives.nseindia.com/30d/NIFTY-200.svg,https://nsearchives.nseindia.com/today/NIFTY-200.svg
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23263.9,64.45,0.28,23250.85,23368.9,23203.95,23199.45,24144.2,20385.65,0,22.96,3.47,1.04,192,307,1,-0.79,1.63,14-Jul-2025,12-Jun-2026,15-Jul-2026,08-Jul-2026,22599.8,22908.05,23309.05,23263.9,https://nsearchives.nseindia.com/365d/NIFTY-500.svg,https://nsearchives.nseindia.com/30d/NIFTY-500.svg,https://nsearchives.nseindia.com/today/NIFTY-500.svg
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,18036.75,48.6,0.27,18034.95,18114.45,17992.7,17988.15,18114.45,14804.55,0,33.69,4.84,0.54,21,28,1,7.47,3.06,14-Jul-2025,12-Jun-2026,15-Jul-2026,08-Jul-2026,17265.9,17604.45,16620.3,18036.75,https://nsearchives.nseindia.com/365d/NIFTY-MIDCAP-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-MIDCAP-50.svg,https://nsearchives.nseindia.com/today/NIFTY-MIDCAP-50.svg
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,62943.2,176.8,0.28,62943.15,63183.35,62780.4,62766.4,63183.35,52032.85,0,30.23,4.87,0.56,44,55,1,5.59,2.26,14-Jul-2025,12-Jun-2026,15-Jul-2026,08-Jul-2026,60768.1,61322.75,59052.55,62943.2,https://nsearchives.nseindia.com/365d/NIFTY-MIDCAP-100.svg,https://nsearchives.nseindia.com/30d/NIFTY-MIDCAP-100.svg,https://nsearchives.nseindia.com/today/NIFTY-MIDCAP-100.svg
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,19355.35,128.0,0.67,19302.8,19470.5,19291.8,19227.35,19470.5,14986.0,0,33.33,3.71,0.58,43,57,0,1.15,5.19,14-Jul-2025,12-Jun-2026,15-Jul-2026,08-Jul-2026,18197.45,18783.3,18954.95,19355.35,https://nsearchives.nseindia.com/365d/NIFTY-SMLCAP-100.svg,https://nsearchives.nseindia.com/30d/NIFTY-SMLCAP-100.svg,https://nsearchives.nseindia.com/today/NIFTY-SMLCAP-100.svg
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,13.27,-0.48,-3.49,13.75,13.87,13.04,13.75,28.91,8.72,0,0,0,0,,,,15.59,-7.53,14-Jul-2025,12-Jun-2026,15-Jul-2026,08-Jul-2026,14.72,14.68,11.98,13.27,https://nsearchives.nseindia.com/365d/INDIA-VIX.svg,https://nsearchives.nseindia.com/30d/INDIA-VIX.svg,https://nsearchives.nseindia.com/today/INDIA-VIX.svg
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,23153.4,99.8,0.43,23117.35,23216.8,23090.95,23053.6,23216.8,19218.0,0,29.55,4.83,0.61,59,90,1,5.36,2.52,14-Jul-2025,12-Jun-2026,15-Jul-2026,08-Jul-2026,22257.9,22537.85,21773.9,23153.4,https://nsearchives.nseindia.com/365d/NIFTY-MIDCAP-150.svg,https://nsearchives.nseindia.com/30d/NIFTY-MIDCAP-150.svg,https://nsearchives.nseindia.com/today/NIFTY-MIDCAP-150.svg
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,9588.15,54.45,0.57,9572.9,9650.5,9552.8,9533.7,9650.5,7338.35,0,32.65,3.54,0.62,22,28,0,3.64,5.67,14-Jul-2025,12-Jun-2026,15-Jul-2026,08-Jul-2026,8976.1,9306.85,9164.2,9588.15,https://nsearchives.nseindia.com/365d/NIFTY-SMLCAP-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-SMLCAP-50.svg,https://nsearchives.nseindia.com/today/NIFTY-SMLCAP-50.svg
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,18097.85,122.95,0.68,18042.45,18170.45,18038.65,17974.9,18194.8,14143.45,0,36.27,3.76,0.62,95,155,0,0.81,4.66,14-Jul-2025,12-Jun-2026,15-Jul-2026,08-Jul-2026,17079.1,17597.9,17808.65,18097.85,https://nsearchives.nseindia.com/365d/NIFTY-SMLCAP-250.svg,https://nsearchives.nseindia.com/30d/NIFTY-SMLCAP-250.svg,https://nsearchives.nseindia.com/today/NIFTY-SMLCAP-250.svg
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,21314.7,110.05,0.52,21270.5,21379.55,21257.25,21204.65,21379.55,17390.85,0,31.56,4.4,0.61,154,245,1,3.66,3.24,14-Jul-2025,12-Jun-2026,15-Jul-2026,08-Jul-2026,20361.45,20740.45,20381.55,21314.7,https://nsearchives.nseindia.com/365d/NIFTY-MIDSML-400.svg,https://nsearchives.nseindia.com/30d/NIFTY-MIDSML-400.svg,https://nsearchives.nseindia.com/today/NIFTY-MIDSML-400.svg
BROAD MARKET INDICES,NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,16505.25,59.65,0.36,16487.25,16574.3,16461.95,16445.6,16681.75,14102.2,0,25.1,3.62,0.93,192,307,1,0.27,2.23,14-Jul-2025,12-Jun-2026,15-Jul-2026,08-Jul-2026,15937.2,16199.5,16350.6,16505.25,https://nsearchives.nseindia.com/365d/NIFTY500-MULTICAP.svg,https://nsearchives.nseindia.com/30d/NIFTY500-MULTICAP.svg,https://nsearchives.nseindia.com/today/NIFTY500-MULTICAP.svg
BROAD MARKET INDICES,NIFTY LARGEMIDCAP 250,NIFTY LARGEMID250,16684.5,49.8,0.3,16672.65,16749.3,16645.2,16634.7,17077.75,14445.65,0,24.13,3.82,0.93,97,152,1,1.27,1.7,14-Jul-2025,12-Jun-2026,15-Jul-2026,08-Jul-2026,16185.0,16380.0,16359.75,16684.5,https://nsearchives.nseindia.com/365d/NIFTY-LARGEMID250.svg,https://nsearchives.nseindia.com/30d/NIFTY-LARGEMID250.svg,https://nsearchives.nseindia.com/today/NIFTY-LARGEMID250.svg
BROAD MARKET INDICES,NIFTY TOTAL MARKET,NIFTY TOTAL MKT,13130.05,38.4,0.29,13121.25,13189.7,13096.05,13091.65,13548.0,11436.55,0,23.17,3.47,1.02,295,454,2,-0.59,1.74,14-Jul-2025,12-Jun-2026,15-Jul-2026,08-Jul-2026,12738.3,12920.85,13126.0,13130.05,https://nsearchives.nseindia.com/365d/NIFTY-TOTAL-MKT.svg,https://nsearchives.nseindia.com/30d/NIFTY-TOTAL-MKT.svg,https://nsearchives.nseindia.com/today/NIFTY-TOTAL-MKT.svg
