key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,indicativeClose,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,date365dAgo,date30dAgo,previousDay,oneWeekAgo,oneMonthAgoVal,oneWeekAgoVal,oneYearAgoVal,previousDayVal,chart365dPath,chart30dPath,chartTodayPath
INDICES ELIGIBLE IN DERIVATIVES,NIFTY 50,NIFTY 50,24270.85,95.15,0.39,24375.65,24378.15,24252.35,24175.7,26373.2,22182.55,0,20.92,3.17,1.25,17,33,0,-4.47,3.7,04-Jul-2025,04-Jun-2026,03-Jul-2026,25-Jun-2026,23416.55,24056.0,25461.0,24270.85,https://nsearchives.nseindia.com/365d/NIFTY-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-50.svg,https://nsearchives.nseindia.com/today/NIFTY-50.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY NEXT 50,NIFTY NEXT 50,72268.95,-149.6,-0.21,72701.9,72701.9,72169.9,72418.55,73141.05,59896.1,0,18.83,3.5,1.22,23,27,0,5.72,3.45,04-Jul-2025,04-Jun-2026,03-Jul-2026,25-Jun-2026,70010.95,72199.55,68607.8,72268.95,https://nsearchives.nseindia.com/365d/NIFTY-NEXT-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-NEXT-50.svg,https://nsearchives.nseindia.com/today/NIFTY-NEXT-50.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY BANK,NIFTY BANK,57938.5,-93.15,-0.16,58343.25,58343.25,57799.05,58031.65,61764.85,49954.85,0,14.55,1.87,0.8,7,7,0,2.02,6.93,04-Jul-2025,04-Jun-2026,03-Jul-2026,25-Jun-2026,54307.85,58177.05,57031.9,57938.5,https://nsearchives.nseindia.com/365d/NIFTY-BANK.svg,https://nsearchives.nseindia.com/30d/NIFTY-BANK.svg,https://nsearchives.nseindia.com/today/NIFTY-BANK.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,26875.05,12.65,0.05,27090.9,27097.0,26844.0,26862.4,28562.5,23373.95,0,17.18,2.73,0.96,10,10,0,0.52,7.69,04-Jul-2025,04-Jun-2026,03-Jul-2026,25-Jun-2026,25031.25,26770.55,26866.3,26875.05,https://nsearchives.nseindia.com/365d/NIFTY-FIN-SERVICE.svg,https://nsearchives.nseindia.com/30d/NIFTY-FIN-SERVICE.svg,https://nsearchives.nseindia.com/today/NIFTY-FIN-SERVICE.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,14545.9,-27.4,-0.19,14653.8,14653.8,14518.15,14573.3,14770.5,12046.2,0,30.42,4.88,0.57,14,11,0,8.05,2.8,04-Jul-2025,04-Jun-2026,03-Jul-2026,25-Jun-2026,14186.3,14434.55,13416.0,14545.9,https://nsearchives.nseindia.com/365d/NIFTY-MID-SELECT.svg,https://nsearchives.nseindia.com/30d/NIFTY-MID-SELECT.svg,https://nsearchives.nseindia.com/today/NIFTY-MID-SELECT.svg
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25301.9,71.7,0.28,25418.8,25418.8,25280.6,25230.2,26975.15,22720.45,0,20.51,3.22,1.25,40,60,0,-2.7,3.66,04-Jul-2025,04-Jun-2026,03-Jul-2026,25-Jun-2026,24427.7,25114.1,26066.65,25301.9,https://nsearchives.nseindia.com/365d/NIFTY-100.svg,https://nsearchives.nseindia.com/30d/NIFTY-100.svg,https://nsearchives.nseindia.com/today/NIFTY-100.svg
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13992.05,26.45,0.19,14060.25,14060.25,13980.5,13965.6,14700.95,12396.1,0,21.88,3.45,1.12,90,110,0,-1.39,3.42,04-Jul-2025,04-Jun-2026,03-Jul-2026,25-Jun-2026,13549.85,13891.25,14217.15,13992.05,https://nsearchives.nseindia.com/365d/NIFTY-200.svg,https://nsearchives.nseindia.com/30d/NIFTY-200.svg,https://nsearchives.nseindia.com/today/NIFTY-200.svg
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23301.15,36.35,0.16,23416.65,23416.65,23284.3,23264.8,24144.2,20385.65,0,23.02,3.52,1.06,254,246,0,-0.94,3.78,04-Jul-2025,04-Jun-2026,03-Jul-2026,25-Jun-2026,22497.7,23113.7,23562.45,23301.15,https://nsearchives.nseindia.com/365d/NIFTY-500.svg,https://nsearchives.nseindia.com/30d/NIFTY-500.svg,https://nsearchives.nseindia.com/today/NIFTY-500.svg
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,17783.25,-22.75,-0.13,17905.0,17905.0,17767.55,17806.0,17905.0,14804.55,0,33.23,4.8,0.6,25,25,0,5.47,3.45,04-Jul-2025,04-Jun-2026,03-Jul-2026,25-Jun-2026,17264.65,17587.85,16841.15,17783.25,https://nsearchives.nseindia.com/365d/NIFTY-MIDCAP-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-MIDCAP-50.svg,https://nsearchives.nseindia.com/today/NIFTY-MIDCAP-50.svg
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,62190.3,-117.6,-0.19,62556.25,62556.55,62136.5,62307.9,62909.55,52032.85,0,29.97,4.84,0.61,50,50,0,4.2,2.48,04-Jul-2025,04-Jun-2026,03-Jul-2026,25-Jun-2026,60966.65,61795.5,59677.75,62190.3,https://nsearchives.nseindia.com/365d/NIFTY-MIDCAP-100.svg,https://nsearchives.nseindia.com/30d/NIFTY-MIDCAP-100.svg,https://nsearchives.nseindia.com/today/NIFTY-MIDCAP-100.svg
