key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,indicativeClose,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,date365dAgo,date30dAgo,previousDay,oneWeekAgo,oneMonthAgoVal,oneWeekAgoVal,oneYearAgoVal,previousDayVal,chart365dPath,chart30dPath,chartTodayPath
INDICES ELIGIBLE IN DERIVATIVES,NIFTY 50,NIFTY 50,23477.8,46.3,0.2,23446.6,23494.95,23380.1,23431.5,26373.2,22182.55,0,19.85,2.84,1.21,26,24,0,-5.99,-4.5,09-Sep-2025,10-Aug-2026,10-Sep-2026,03-Sep-2026,24583.8,23873.45,24868.6,23477.8,https://nsearchives.nseindia.com/365d/NIFTY-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-50.svg,https://nsearchives.nseindia.com/today/NIFTY-50.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY NEXT 50,NIFTY NEXT 50,72530.9,-322.95,-0.44,72899.5,72993.65,72375.0,72853.85,75000.4,59896.1,0,19.17,3.23,1,36,13,1,7.05,-2.99,09-Sep-2025,10-Aug-2026,10-Sep-2026,03-Sep-2026,74766.85,73051.85,67460.75,72530.9,https://nsearchives.nseindia.com/365d/NIFTY-NEXT-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-NEXT-50.svg,https://nsearchives.nseindia.com/today/NIFTY-NEXT-50.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY BANK,NIFTY BANK,56471.95,176.4,0.31,56262.75,56575.15,56231.85,56295.55,61764.85,49954.85,0,13.36,1.69,0.69,5,9,0,3.55,-2.11,09-Sep-2025,10-Aug-2026,10-Sep-2026,03-Sep-2026,57686.95,57380.6,54216.1,56471.95,https://nsearchives.nseindia.com/365d/NIFTY-BANK.svg,https://nsearchives.nseindia.com/30d/NIFTY-BANK.svg,https://nsearchives.nseindia.com/today/NIFTY-BANK.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,25520.3,143.5,0.57,25383.9,25520.3,25374.75,25376.8,28562.5,23373.95,0,15.65,2.36,0.98,6,14,0,-2.31,-3.86,09-Sep-2025,10-Aug-2026,10-Sep-2026,03-Sep-2026,26545.3,25923.05,25961.95,25520.3,https://nsearchives.nseindia.com/365d/NIFTY-FIN-SERVICE.svg,https://nsearchives.nseindia.com/30d/NIFTY-FIN-SERVICE.svg,https://nsearchives.nseindia.com/today/NIFTY-FIN-SERVICE.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,14528.3,-76.1,-0.52,14593.1,14593.1,14479.75,14604.4,15089.75,12046.2,0,31.71,4.39,0.5,19,5,1,11.41,-2.89,09-Sep-2025,10-Aug-2026,10-Sep-2026,03-Sep-2026,14960.6,14760.0,12883.5,14528.3,https://nsearchives.nseindia.com/365d/NIFTY-MID-SELECT.svg,https://nsearchives.nseindia.com/30d/NIFTY-MID-SELECT.svg,https://nsearchives.nseindia.com/today/NIFTY-MID-SELECT.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY INDIA FPI 150,NIFTY FPI 150,1531.6,-0.8,-0.05,1533.05,1534.4,1526.3,1532.4,1641.4,1346.5,0,21.92,3.25,1.07,95,52,3,0.0,-4.02,,10-Aug-2026,10-Sep-2026,03-Sep-2026,1595.7,1554.35,0.0,1531.6,,https://nsearchives.nseindia.com/30d/NIFTY-FPI-150.svg,https://nsearchives.nseindia.com/today/NIFTY-FPI-150.svg
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,24643.05,18.75,0.08,24640.1,24677.45,24552.1,24624.3,26975.15,22720.45,0,19.72,2.91,1.17,62,37,1,-3.73,-4.22,09-Sep-2025,10-Aug-2026,10-Sep-2026,03-Sep-2026,25728.3,25013.45,25489.2,24643.05,https://nsearchives.nseindia.com/365d/NIFTY-100.svg,https://nsearchives.nseindia.com/30d/NIFTY-100.svg,https://nsearchives.nseindia.com/today/NIFTY-100.svg
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13707.85,-2.25,-0.02,13715.1,13731.05,13660.85,13710.1,14700.95,12396.1,0,21.2,3.11,1.04,126,71,3,-1.64,-3.84,09-Sep-2025,10-Aug-2026,10-Sep-2026,03-Sep-2026,14255.6,13911.2,13865.75,13707.85,https://nsearchives.nseindia.com/365d/NIFTY-200.svg,https://nsearchives.nseindia.com/30d/NIFTY-200.svg,https://nsearchives.nseindia.com/today/NIFTY-200.svg
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,22952.35,-6.4,-0.03,22966.65,22993.5,22884.6,22958.75,24144.2,20385.65,0,22.24,3.19,0.97,306,191,4,-0.53,-3.33,09-Sep-2025,10-Aug-2026,10-Sep-2026,03-Sep-2026,23743.2,23254.05,22949.1,22952.35,https://nsearchives.nseindia.com/365d/NIFTY-500.svg,https://nsearchives.nseindia.com/30d/NIFTY-500.svg,https://nsearchives.nseindia.com/today/NIFTY-500.svg
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,17928.7,-65.4,-0.36,17976.3,17987.35,17878.25,17994.1,18500.95,14804.55,0,35.26,4.29,0.53,33,16,1,9.58,-2.02,09-Sep-2025,10-Aug-2026,10-Sep-2026,03-Sep-2026,18298.9,18170.25,16208.05,17928.7,https://nsearchives.nseindia.com/365d/NIFTY-MIDCAP-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-MIDCAP-50.svg,https://nsearchives.nseindia.com/today/NIFTY-MIDCAP-50.svg
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,62357.35,-235.45,-0.38,62548.5,62594.2,62193.1,62592.8,64450.9,52032.85,0,30.05,4.29,0.55,64,34,2,7.51,-2.35,09-Sep-2025,10-Aug-2026,10-Sep-2026,03-Sep-2026,63855.7,63235.2,57464.35,62357.35,https://nsearchives.nseindia.com/365d/NIFTY-MIDCAP-100.svg,https://nsearchives.nseindia.com/30d/NIFTY-MIDCAP-100.svg,https://nsearchives.nseindia.com/today/NIFTY-MIDCAP-100.svg
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,20021.95,-14.95,-0.07,20049.35,20100.45,19992.35,20036.9,20187.8,14986.0,0,31.71,3.54,0.56,65,35,0,12.01,1.05,09-Sep-2025,10-Aug-2026,10-Sep-2026,03-Sep-2026,19813.95,20050.75,17744.3,20021.95,https://nsearchives.nseindia.com/365d/NIFTY-SMLCAP-100.svg,https://nsearchives.nseindia.com/30d/NIFTY-SMLCAP-100.svg,https://nsearchives.nseindia.com/today/NIFTY-SMLCAP-100.svg
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,11.72,-0.2,-1.71,11.92,11.96,11.53,11.92,28.91,8.72,0,0,0,0,,,,11.2,-4.33,09-Sep-2025,10-Aug-2026,10-Sep-2026,03-Sep-2026,12.25,11.34,10.69,11.8,https://nsearchives.nseindia.com/365d/INDIA-VIX.svg,https://nsearchives.nseindia.com/30d/INDIA-VIX.svg,https://nsearchives.nseindia.com/today/INDIA-VIX.svg
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,22904.25,-86.7,-0.38,22978.15,22992.65,22851.45,22990.95,23647.5,19218.0,0,28.64,4.32,0.58,96,52,2,6.54,-2.41,09-Sep-2025,10-Aug-2026,10-Sep-2026,03-Sep-2026,23470.9,23220.5,21295.9,22904.25,https://nsearchives.nseindia.com/365d/NIFTY-MIDCAP-150.svg,https://nsearchives.nseindia.com/30d/NIFTY-MIDCAP-150.svg,https://nsearchives.nseindia.com/today/NIFTY-MIDCAP-150.svg
