key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,indicativeClose,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,date365dAgo,date30dAgo,previousDay,oneWeekAgo,oneMonthAgoVal,oneWeekAgoVal,oneYearAgoVal,previousDayVal,chart365dPath,chart30dPath,chartTodayPath
INDICES ELIGIBLE IN DERIVATIVES,NIFTY 50,NIFTY 50,23779.15,-118.55,-0.5,23883.15,23890.0,23737.9,23897.7,26373.2,22182.55,0,20.1,2.88,1.19,37,13,0,-3.89,-3.22,05-Sep-2025,07-Aug-2026,07-Sep-2026,31-Aug-2026,24570.65,24080.4,24741.0,23779.15,https://nsearchives.nseindia.com/365d/NIFTY-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-50.svg,https://nsearchives.nseindia.com/today/NIFTY-50.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY NEXT 50,NIFTY NEXT 50,72575.75,-305.15,-0.42,72884.4,72962.55,72512.2,72880.9,75000.4,59896.1,0,19.19,3.23,1,38,12,0,8.18,-2.84,05-Sep-2025,07-Aug-2026,07-Sep-2026,31-Aug-2026,74697.55,73759.7,67089.8,72575.75,https://nsearchives.nseindia.com/365d/NIFTY-NEXT-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-NEXT-50.svg,https://nsearchives.nseindia.com/today/NIFTY-NEXT-50.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY BANK,NIFTY BANK,57088.3,-281.35,-0.49,57343.3,57426.85,57002.95,57369.65,61764.85,49954.85,0,13.51,1.71,0.69,13,1,0,5.5,-1.14,05-Sep-2025,07-Aug-2026,07-Sep-2026,31-Aug-2026,57746.45,58024.95,54114.55,57088.3,https://nsearchives.nseindia.com/365d/NIFTY-BANK.svg,https://nsearchives.nseindia.com/30d/NIFTY-BANK.svg,https://nsearchives.nseindia.com/today/NIFTY-BANK.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,25935.6,-115.4,-0.44,26069.9,26080.6,25910.5,26051.0,28562.5,23373.95,0,15.91,2.4,0.96,16,4,0,0.18,-2.0,05-Sep-2025,07-Aug-2026,07-Sep-2026,31-Aug-2026,26466.0,26293.65,25889.3,25935.6,https://nsearchives.nseindia.com/365d/NIFTY-FIN-SERVICE.svg,https://nsearchives.nseindia.com/30d/NIFTY-FIN-SERVICE.svg,https://nsearchives.nseindia.com/today/NIFTY-FIN-SERVICE.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,14650.7,-62.95,-0.43,14724.05,14762.45,14602.55,14713.65,15089.75,12046.2,0,31.98,4.42,0.5,17,8,0,14.65,-1.51,05-Sep-2025,07-Aug-2026,07-Sep-2026,31-Aug-2026,14875.0,15028.6,12778.15,14650.7,https://nsearchives.nseindia.com/365d/NIFTY-MID-SELECT.svg,https://nsearchives.nseindia.com/30d/NIFTY-MID-SELECT.svg,https://nsearchives.nseindia.com/today/NIFTY-MID-SELECT.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY INDIA FPI 150,NIFTY FPI 150,1545.2,-8.5,-0.55,1552.5,1553.25,1542.85,1553.7,1641.4,1346.5,0,22.12,3.28,1.06,113,37,0,0.0,-2.97,,07-Aug-2026,07-Sep-2026,31-Aug-2026,1592.55,1568.5,0.0,1545.2,,https://nsearchives.nseindia.com/30d/NIFTY-FPI-150.svg,https://nsearchives.nseindia.com/today/NIFTY-FPI-150.svg
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,24902.6,-120.55,-0.48,25010.95,25018.7,24865.9,25023.15,26975.15,22720.45,0,19.92,2.94,1.16,75,25,0,-1.79,-3.15,05-Sep-2025,07-Aug-2026,07-Sep-2026,31-Aug-2026,25712.7,25235.05,25356.85,24902.6,https://nsearchives.nseindia.com/365d/NIFTY-100.svg,https://nsearchives.nseindia.com/30d/NIFTY-100.svg,https://nsearchives.nseindia.com/today/NIFTY-100.svg
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13842.0,-66.5,-0.48,13903.35,13910.15,13822.4,13908.5,14700.95,12396.1,0,21.41,3.14,1.03,147,53,0,0.38,-2.73,05-Sep-2025,07-Aug-2026,07-Sep-2026,31-Aug-2026,14231.1,14053.7,13790.05,13842.0,https://nsearchives.nseindia.com/365d/NIFTY-200.svg,https://nsearchives.nseindia.com/30d/NIFTY-200.svg,https://nsearchives.nseindia.com/today/NIFTY-200.svg
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23156.2,-97.95,-0.42,23248.05,23260.4,23124.1,23254.15,24144.2,20385.65,0,22.44,3.22,0.97,311,188,2,1.43,-2.34,05-Sep-2025,07-Aug-2026,07-Sep-2026,31-Aug-2026,23712.1,23450.35,22829.15,23156.2,https://nsearchives.nseindia.com/365d/NIFTY-500.svg,https://nsearchives.nseindia.com/30d/NIFTY-500.svg,https://nsearchives.nseindia.com/today/NIFTY-500.svg
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,18051.6,-76.15,-0.42,18126.45,18159.7,18004.65,18127.75,18500.95,14804.55,0,35.5,4.32,0.52,36,14,0,12.18,-0.67,05-Sep-2025,07-Aug-2026,07-Sep-2026,31-Aug-2026,18172.6,18491.45,16091.9,18051.6,https://nsearchives.nseindia.com/365d/NIFTY-MIDCAP-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-MIDCAP-50.svg,https://nsearchives.nseindia.com/today/NIFTY-MIDCAP-50.svg
