priority,identifier,change,symbol,series,marketType,lastPrice,totalTradedVolume,open,dayHigh,dayLow,previousClose,totalTradedValue,yearHigh,yearLow,ffmc,lastUpdateTime,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,nearWKH,nearWKL,chart30Path,chart365Path,companyName,pChange
1,NIFTY TOTAL MARKET,-23.9,NIFTY TOTAL MARKET,,,13073.9,3377091628,13092.4,13097.3,13047.2,13097.8,811779433099.51,13548.0,11436.55,,2026-09-08 15:39:59,0,1.5,-2.33,05-Sep-2025,07-Aug-2026,3.4994095069382936,-14.316817571732734,,,,-0.18
0,IFCIEQN,-10.26,IFCI,EQ,N,92.25,217424506,103.4,103.59,91.77,102.51,20624888639.16,107.5,46.23,61258252600.18,2026-09-08 16:00:28,0,73.63,24.7,08-Sep-2025,07-Aug-2026,14.186046511627907,-99.54574951330305,,,IFCI LIMITED,-10.01
0,GVT&DEQN,382.8,GVT&D,EQ,N,4750.0,4274212,4636.1,4793.0,4610.0,4367.2,20116365067.4,5650.0,2523.2,586945842065.17,2026-09-08 16:00:28,0,73.4,10.49,08-Sep-2025,07-Aug-2026,15.929203539823009,-88.25301204819277,,,GE VERNOVA T&D INDIA LIMITED,8.77
0,MIDHANIEQN,51.0,MIDHANI,EQ,N,470.9,36384306,422.5,482.4,421.0,419.9,17083159353.12,482.4,266.65,22936344467.97,2026-09-08 16:00:28,0,24.77,8.22,08-Sep-2025,07-Aug-2026,2.3839137645107793,-76.59853740858804,,,MISHRA DHATU NIGAM LIMITED,12.15
0,ICICIBANKEQN,-28.1,ICICIBANK,EQ,N,1399.4,12123411,1424.0,1424.9,1396.3,1427.5,17010236739.99,1480.0,1187.6,10002059085750.71,2026-09-08 16:00:28,0,-0.24,-1.52,08-Sep-2025,07-Aug-2026,5.445945945945946,-17.834287638935667,,,ICICI BANK LIMITED,-1.97
0,PCJEWELLEREQN,-0.38,PCJEWELLER,EQ,N,13.55,1114322441,14.23,14.44,13.18,13.93,15165928422.01,15.38,7.47,61235625697.82,2026-09-08 16:00:28,0,-0.22,38.69,08-Sep-2025,07-Aug-2026,11.898569570871262,-81.39223560910308,,,PC JEWELLER LIMITED,-2.73
0,DATAPATTNSEQN,349.2,DATAPATTNS,EQ,N,4940.0,2894206,4617.1,4950.0,4617.1,4590.8,14061413024.82,5000.0,2131.0,148526981324.16,2026-09-08 16:00:28,0,94.6,12.77,08-Sep-2025,07-Aug-2026,1.2,-131.8160488033787,,,DATA PATTERNS (INDIA) LIMITED,7.61
0,HDFCBANKEQN,-7.5,HDFCBANK,EQ,N,703.0,19883515,707.1,708.9,703.0,710.5,14013304866.55,1020.5,698.5,10744407210973.2,2026-09-08 16:00:28,0,-27.23,-3.83,08-Sep-2025,07-Aug-2026,31.11219990200882,-0.6442376521116678,,,HDFC BANK LIMITED,-1.06
0,HINDCOPPEREQN,23.9,HINDCOPPER,EQ,N,533.0,24876043,520.0,537.0,520.0,509.1,13196492051.07,760.05,241.52,174428692448.59,2026-09-08 16:00:28,0,116.98,-0.58,08-Sep-2025,07-Aug-2026,29.87303466877179,-120.68565750248426,,,HINDUSTAN COPPER LIMITED,4.69
0,HALEQN,175.9,HAL,EQ,N,5031.1,2553021,4904.1,5072.0,4903.7,4855.2,12825177584.13,5149.9,3479.1,951772036147.98,2026-09-08 16:00:28,0,13.22,2.47,08-Sep-2025,07-Aug-2026,2.306840909532224,-44.60923802132736,,,HINDUSTAN AERONAUTICS LIMITED,3.62
0,RELIANCEEQN,-14.6,RELIANCE,EQ,N,1294.9,9799528,1304.1,1306.8,1288.0,1309.5,12682255151.76,1611.8,1249.8,8723406389017.48,2026-09-08 16:00:28,0,-6.06,-2.99,08-Sep-2025,07-Aug-2026,19.661248293832983,-3.608577372379581,,,RELIANCE INDUSTRIES LIMITED,-1.11
0,BSEEQN,-52.2,BSE,EQ,N,3394.0,2850676,3440.0,3442.2,3362.0,3446.2,9681722392.04,4446.8,2021.5,1383040647991.41,2026-09-08 16:00:28,0,44.66,-1.83,08-Sep-2025,07-Aug-2026,23.67545201043447,-67.89512738065793,,,BSE LIMITED,-1.51
0,BELEQN,6.55,BEL,EQ,N,410.55,23225496,408.0,416.0,406.5,404.0,9582839649.6,473.45,369.9,1466354128067.84,2026-09-08 16:00:28,0,10.39,2.38,08-Sep-2025,07-Aug-2026,13.285457809694794,-10.989456609894566,,,BHARAT ELECTRONICS LIMITED,1.62
0,NIACLEQN,-26.2,NIACL,EQ,N,205.0,45314645,231.2,232.0,199.52,231.2,9404148276.85,242.6,116.97,49198625680.0,2026-09-08 16:00:28,0,6.09,15.75,08-Sep-2025,07-Aug-2026,15.49876339653751,-75.25861331965461,,,THE NEW INDIA ASSURANCE COMPANY LIMITED,-11.33
0,POWERINDIAEQN,-640.0,POWERINDIA,EQ,N,31135.0,278064,31500.0,31570.0,30550.0,31775.0,8632371751.2,38785.0,16111.0,394944154717.92,2026-09-08 16:00:28,0,65.16,-4.49,08-Sep-2025,07-Aug-2026,19.724120149542347,-93.25305691763391,,,HITACHI ENERGY INDIA LIMITED,-2.01
0,DIVISLABEQN,260.0,DIVISLAB,EQ,N,9575.0,838906,9375.5,9588.0,9253.0,9315.0,7947568939.38,9588.0,5636.5,1213469502210.98,2026-09-08 16:00:28,0,58.86,15.71,08-Sep-2025,07-Aug-2026,0.13558614935335836,-69.87492238091014,,,DIVI'S LABORATORIES LIMITED,2.79
0,BHARTIARTLEQN,-10.0,BHARTIARTL,EQ,N,1844.0,4169706,1846.2,1848.8,1829.0,1854.0,7662543625.02,2174.5,1740.5,5726768434012.65,2026-09-08 16:00:28,0,-2.31,-5.91,08-Sep-2025,07-Aug-2026,15.198896297999541,-5.94656707842574,,,BHARTI AIRTEL LIMITED,-0.54
0,SWIGGYEQN,-0.75,SWIGGY,EQ,N,275.7,25774897,276.45,280.0,274.6,276.45,7141708460.76,474.0,235.75,390203837554.53,2026-09-08 16:00:28,0,-37.79,-1.8,08-Sep-2025,07-Aug-2026,41.835443037974684,-16.94591728525981,,,SWIGGY LIMITED,-0.27
0,SBINEQN,2.1,SBIN,EQ,N,1008.0,7084768,1004.9,1011.2,1002.1,1005.9,7139037322.88,1234.7,805.6,4154928376490.0,2026-09-08 16:00:28,0,24.63,-8.13,08-Sep-2025,07-Aug-2026,18.36073540131206,-25.124131082423037,,,STATE BANK OF INDIA,0.21
0,INFYEQN,-5.5,INFY,EQ,N,1082.0,6269037,1095.0,1095.0,1078.9,1087.5,6797391438.36,1728.0,982.4,3785412939212.49,2026-09-08 16:00:28,0,-24.49,-7.92,08-Sep-2025,07-Aug-2026,37.38425925925926,-10.13843648208469,,,INFOSYS LIMITED,-0.51
0,PINELABSEQN,5.48,PINELABS,EQ,N,169.97,38342385,163.99,173.94,162.35,164.49,6543128000.25,284.0,134.73,36861382976.31,2026-09-08 16:00:28,0,0.0,10.06,,07-Aug-2026,40.151408450704224,-26.15601573517405,,,PINE LABS LIMITED,3.33
0,KALYANKJILEQN,21.6,KALYANKJIL,EQ,N,612.6,10713234,591.0,618.9,587.1,591.0,6522002594.52,648.95,327.05,234735778631.78,2026-09-08 16:00:28,0,21.08,1.04,08-Sep-2025,07-Aug-2026,5.601356036674629,-87.31080874484024,,,KALYAN JEWELLERS INDIA LIMITED,3.65
0,APOLLOEQN,14.55,APOLLO,EQ,N,418.5,15479622,408.0,424.0,405.8,403.95,6459027075.72,466.5,179.5,70141035867.46,2026-09-08 16:00:28,0,52.02,3.63,08-Sep-2025,07-Aug-2026,10.289389067524116,-133.1476323119777,,,APOLLO MICRO SYSTEMS LIMITED,3.6
0,IDBIEQN,-9.53,IDBI,EQ,N,81.22,69073713,91.3,92.0,79.05,90.75,5719303436.4,118.38,61.01,45411252131.88,2026-09-08 16:00:28,0,-11.98,-3.56,08-Sep-2025,07-Aug-2026,31.39043757391451,-33.1257170955581,,,IDBI BANK LIMITED,-10.5
0,M&MEQN,0.0,M&M,EQ,N,3160.0,1784671,3145.0,3163.0,3096.3,3160.0,5594747271.19,3839.9,2896.0,2813291382392.15,2026-09-08 16:00:28,0,-14.63,-9.77,08-Sep-2025,07-Aug-2026,17.706190265371493,-9.116022099447514,,,MAHINDRA & MAHINDRA LIMITED,0.0
0,IDEAEQN,-0.18,IDEA,EQ,N,15.42,355940344,15.58,15.58,15.31,15.6,5495718911.36,15.68,7.16,423339267268.69,2026-09-08 16:00:28,0,111.52,21.13,08-Sep-2025,07-Aug-2026,1.6581632653061225,-115.36312849162012,,,VODAFONE IDEA LIMITED,-1.15
0,KOTAKBANKEQN,-2.85,KOTAKBANK,EQ,N,419.25,12406799,422.3,423.85,419.0,422.1,5227356622.67,453.2,345.5,3078457483052.74,2026-09-08 16:00:28,0,7.49,7.29,08-Sep-2025,07-Aug-2026,7.491173874669021,-21.34587554269175,,,KOTAK MAHINDRA BANK LIMITED,-0.68
0,KEIEQN,-6.5,KEI,EQ,N,4697.5,1080574,4701.0,4783.0,4666.0,4704.0,5095997789.74,5899.0,3728.7,289109818301.76,2026-09-08 16:00:28,0,15.82,-16.12,08-Sep-2025,07-Aug-2026,20.367858959145618,-25.98224582294097,,,KEI INDUSTRIES LIMITED,-0.14
0,POLYCABEQN,112.5,POLYCAB,EQ,N,8373.5,604579,8301.0,8433.0,8301.0,8261.0,5065362373.07,10126.0,6663.0,446670250129.65,2026-09-08 16:00:28,0,14.32,-9.16,08-Sep-2025,07-Aug-2026,17.306932648627296,-25.671619390664866,,,POLYCAB INDIA LIMITED,1.36
0,TCSEQN,-14.5,TCS,EQ,N,2255.5,2148114,2270.0,2274.5,2244.0,2270.0,4862299001.28,3350.0,1976.8,2296375504880.51,2026-09-08 16:00:28,0,-25.29,-8.04,08-Sep-2025,07-Aug-2026,32.67164179104478,-14.09854309995953,,,TATA CONSULTANCY SERVICES LIMITED,-0.64
