priority,identifier,change,symbol,series,marketType,lastPrice,totalTradedVolume,open,dayHigh,dayLow,previousClose,totalTradedValue,yearHigh,yearLow,ffmc,lastUpdateTime,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,nearWKH,nearWKL,chart30Path,chart365Path,companyName,pChange
1,NIFTY TOTAL MARKET,-65.4,NIFTY TOTAL MARKET,,,13190.25,3023940260,13245.65,13247.25,13135.1,13255.65,970020272314.33,13548.0,11436.55,,2026-09-01 15:39:59,0,3.18,-0.3,29-Aug-2025,31-Jul-2026,2.6406111603188664,-15.334169832685557,,,,-0.49
0,EPLEQN,-22.2,EPL,EQ,N,239.9,135432363,246.0,247.7,237.5,262.06,32683892162.79,274.03,176.4,33389093704.23,2026-09-01 16:00:28,0,6.69,7.86,01-Sep-2025,31-Jul-2026,12.454840710871073,-35.997732426303855,,,EPL LIMITED,-8.47
0,HDFCBANKEQN,2.9,HDFCBANK,EQ,N,711.9,44417092,705.05,715.45,698.5,709.0,31441971084.96,1020.5,698.5,10878273040727.22,2026-09-01 16:00:28,0,-25.11,-4.85,01-Sep-2025,31-Jul-2026,30.240078392944636,-1.9183965640658553,,,HDFC BANK LIMITED,0.41
0,BHARTIARTLEQN,65.3,BHARTIARTL,EQ,N,1877.2,9900740,1852.0,1877.2,1848.5,1811.9,18467850322.0,2174.5,1740.5,5829875110807.23,2026-09-01 16:00:28,0,-1.23,-4.81,01-Sep-2025,31-Jul-2026,13.672108530696711,-7.854064923872451,,,BHARTI AIRTEL LIMITED,3.6
0,ATHERENERGEQN,7.9,ATHERENERG,EQ,N,1725.6,9562596,1694.0,1744.0,1671.6,1717.7,16432938722.16,1744.0,445.3,339936450881.87,2026-09-01 16:00:28,0,254.48,36.92,01-Sep-2025,31-Jul-2026,1.055045871559633,-287.5140354816977,,,ATHER ENERGY LIMITED,0.46
0,RELIANCEEQN,32.0,RELIANCE,EQ,N,1309.0,12617528,1285.0,1311.8,1280.0,1277.0,16399253492.16,1611.8,1249.8,8818394442214.75,2026-09-01 16:00:28,0,-3.32,0.09,01-Sep-2025,31-Jul-2026,18.78644993175332,-4.736757881261002,,,RELIANCE INDUSTRIES LIMITED,2.51
0,ENGINERSINEQN,18.8,ENGINERSIN,EQ,N,280.7,57537014,263.0,289.65,260.45,261.87,16175380745.82,289.65,163.55,76666991260.19,2026-09-01 16:00:28,0,39.6,26.23,01-Sep-2025,31-Jul-2026,3.089936129811842,-71.62947110975237,,,ENGINEERS INDIA LIMITED,7.18
0,VTLEQN,25.95,VTL,EQ,N,598.0,26383732,576.6,637.85,572.05,572.05,16152648405.04,688.0,385.5,59591922401.7,2026-09-01 16:00:28,0,42.98,2.08,01-Sep-2025,31-Jul-2026,13.081395348837209,-55.12321660181583,,,VARDHMAN TEXTILES LIMITED,4.54
0,INFYEQN,22.2,INFY,EQ,N,1156.0,13516123,1128.0,1156.0,1125.6,1133.8,15481367284.2,1728.0,982.4,4044304397162.33,2026-09-01 16:00:28,0,-22.9,2.29,01-Sep-2025,31-Jul-2026,33.101851851851855,-17.67100977198697,,,INFOSYS LIMITED,1.96
0,ICICIBANKEQN,-16.0,ICICIBANK,EQ,N,1438.0,10627608,1442.9,1446.7,1422.8,1454.0,15226173981.6,1480.0,1187.6,10277036180927.27,2026-09-01 16:00:28,0,1.91,0.18,01-Sep-2025,31-Jul-2026,2.8378378378378377,-21.08454024924217,,,ICICI BANK LIMITED,-1.1
