priority,identifier,change,symbol,series,marketType,lastPrice,totalTradedVolume,open,dayHigh,dayLow,previousClose,totalTradedValue,yearHigh,yearLow,ffmc,lastUpdateTime,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,nearWKH,nearWKL,chart30Path,chart365Path,companyName,pChange
1,NIFTY TOTAL MARKET,-47.4,NIFTY TOTAL MARKET,,,13261.75,2743304836,13286.45,13306.35,13260.95,13309.15,843515883799.27,13548.0,11436.55,,2026-08-18 15:39:59,0,2.77,0.77,14-Aug-2025,17-Jul-2026,2.1128579864186596,-15.959358372935894,,,,-0.36
0,BSEEQN,-24.0,BSE,EQ,N,3308.0,5806922,3298.7,3315.4,3235.0,3332.0,19054427366.26,4446.8,2021.5,1347996011654.57,2026-08-18 16:00:29,0,32.6,-7.64,18-Aug-2025,17-Jul-2026,25.609427003688044,-63.64086074697007,,,BSE LIMITED,-0.72
0,CUPIDEQN,15.67,CUPID,EQ,N,282.99,68917290,273.0,285.7,257.21,267.32,18768245585.7,299.0,32.87,190999082649.94,2026-08-18 16:00:29,0,723.36,31.76,18-Aug-2025,17-Jul-2026,5.354515050167224,-760.9370246425311,,,CUPID LIMITED,5.86
0,RELIANCEEQN,6.0,RELIANCE,EQ,N,1322.0,10180567,1314.0,1328.6,1311.2,1316.0,13466446804.92,1611.8,1249.8,8905972079914.36,2026-08-18 16:00:29,0,-4.32,-0.39,18-Aug-2025,17-Jul-2026,17.979898250403277,-5.776924307889263,,,RELIANCE INDUSTRIES LIMITED,0.46
0,BHARTIARTLEQN,-35.1,BHARTIARTL,EQ,N,1934.2,6710275,1956.7,1959.7,1923.2,1969.3,13046317963.25,2174.5,1740.5,6006452502382.53,2026-08-18 16:00:29,0,2.21,1.33,18-Aug-2025,17-Jul-2026,11.050816279604506,-11.128985923585176,,,BHARTI AIRTEL LIMITED,-1.78
0,HDFCBANKEQN,-6.0,HDFCBANK,EQ,N,723.0,17916507,726.3,729.0,723.0,729.0,12983913457.83,1020.5,722.0,11047887917468.44,2026-08-18 16:00:29,0,-27.83,-11.79,18-Aug-2025,17-Jul-2026,29.15237628613425,-0.13850415512465375,,,HDFC BANK LIMITED,-0.82
0,NETWEBEQN,112.6,NETWEB,EQ,N,5325.0,2395703,5110.0,5396.4,5092.8,5212.4,12712606313.26,5396.4,2037.3,100092678447.32,2026-08-18 16:00:29,0,146.74,25.46,18-Aug-2025,17-Jul-2026,1.3231042917500555,-161.3753497275806,,,NETWEB TECHNOLOGIES INDIA LIMITED,2.16
0,TIINDIAEQN,217.6,TIINDIA,EQ,N,2959.0,4188005,2755.8,2989.0,2755.8,2741.4,12284381906.15,3419.9,2164.9,315289887309.17,2026-08-18 16:00:29,0,-3.02,2.44,18-Aug-2025,17-Jul-2026,13.477002251527823,-36.68067809136681,,,TUBE INVESTMENTS OF INDIA LIMITED,7.94
0,ICICIBANKEQN,-3.3,ICICIBANK,EQ,N,1412.0,8345198,1410.0,1416.6,1406.3,1415.3,11773238434.44,1480.0,1187.6,10090734597500.56,2026-08-18 16:00:29,0,-1.58,-2.24,18-Aug-2025,17-Jul-2026,4.594594594594595,-18.89525092623779,,,ICICI BANK LIMITED,-0.23
0,IDEAEQN,0.41,IDEA,EQ,N,14.12,820797167,13.65,14.31,13.5,13.71,11409080621.3,15.34,6.18,387649186370.55,2026-08-18 16:00:29,0,118.58,2.77,18-Aug-2025,17-Jul-2026,7.953063885267275,-128.4789644012945,,,VODAFONE IDEA LIMITED,2.99
0,ICILEQN,47.2,ICIL,EQ,N,435.9,25217573,388.7,462.0,387.05,388.7,11162558688.45,463.8,216.9,34453243054.65,2026-08-18 16:00:29,0,75.03,11.97,18-Aug-2025,17-Jul-2026,6.015523932729625,-100.96818810511756,,,INDO COUNT INDUSTRIES LIMITED,12.14
0,GROWWEQN,-5.11,GROWW,EQ,N,193.58,57106951,198.11,198.25,190.86,198.69,11052479296.54,227.2,112.0,148564006549.79,2026-08-18 16:00:29,0,0.0,-7.07,,17-Jul-2026,14.797535211267606,-72.83928571428571,,,BILLIONBRAINS GARAGE VENTURES LIMITED,-2.57
0,INFYEQN,-24.9,INFY,EQ,N,1115.0,8851110,1124.5,1131.9,1112.5,1139.9,9884742625.8,1728.0,982.4,3900695489922.38,2026-08-18 16:00:29,0,-22.34,1.69,18-Aug-2025,17-Jul-2026,35.47453703703704,-13.497557003257329,,,INFOSYS LIMITED,-2.18
0,WELSPUNLIVEQN,9.3,WELSPUNLIV,EQ,N,177.45,53708881,168.3,182.9,167.8,168.15,9626242741.63,182.9,107.1,55408789721.21,2026-08-18 16:00:29,0,51.46,7.94,18-Aug-2025,17-Jul-2026,2.979770366320394,-65.68627450980392,,,WELSPUN LIVING LIMITED,5.53
0,MCXEQN,106.9,MCX,EQ,N,3040.0,3187586,2949.9,3058.0,2916.0,2933.1,9616054437.92,3480.0,1460.8,773357422935.36,2026-08-18 16:00:29,0,82.93,10.65,18-Aug-2025,17-Jul-2026,12.64367816091954,-108.105147864184,,,MULTI COMMODITY EXCHANGE OF INDIA LIMITED,3.64
0,MRPLEQN,-0.2,MRPL,EQ,N,176.95,48280540,177.0,189.0,176.2,177.15,8867686781.8,212.31,120.45,31103721453.32,2026-08-18 16:00:29,0,43.34,1.41,18-Aug-2025,17-Jul-2026,16.654891432339504,-46.907430469074306,,,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,-0.11
