priority,identifier,change,symbol,series,marketType,lastPrice,totalTradedVolume,open,dayHigh,dayLow,previousClose,totalTradedValue,yearHigh,yearLow,ffmc,lastUpdateTime,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,nearWKH,nearWKL,chart30Path,chart365Path,companyName,pChange
1,NIFTY TOTAL MARKET,38.4,NIFTY TOTAL MARKET,,,13130.05,3627618324,13121.25,13189.7,13096.05,13091.65,1022369306860.83,13548.0,11436.55,,2026-07-15 15:39:59,0,-0.59,1.74,14-Jul-2025,12-Jun-2026,3.0849571892530263,-14.807787313481775,,,,0.29
0,KALYANKJILEQN,14.85,KALYANKJIL,EQ,N,544.6,63633358,534.0,551.0,518.3,529.75,34283107956.08,617.7,327.05,208677395556.51,2026-07-15 16:00:29,0,-7.42,42.19,15-Jul-2025,15-Jun-2026,11.834223733203821,-66.51888090506039,,,KALYAN JEWELLERS INDIA LIMITED,2.8
0,GROWWEQN,13.16,GROWW,EQ,N,216.95,153577738,205.0,219.62,201.67,203.79,32649091321.42,227.2,112.0,166499438066.84,2026-07-15 16:00:29,0,0.0,4.63,,15-Jun-2026,4.511443661971831,-93.70535714285714,,,BILLIONBRAINS GARAGE VENTURES LIMITED,6.46
0,PATANJALIEQN,-60.05,PATANJALI,EQ,N,347.5,81422871,407.5,408.75,328.2,407.55,28578613492.29,653.93,328.2,120044440949.62,2026-07-15 16:00:29,0,-40.24,-18.37,15-Jul-2025,15-Jun-2026,46.85975563133669,-5.880560633759902,,,PATANJALI FOODS LIMITED,-14.73
0,ATHERENERGEQN,97.2,ATHERENERG,EQ,N,1299.0,17106822,1225.0,1318.9,1225.0,1201.8,22083538656.24,1318.9,329.2,248643667294.2,2026-07-15 16:00:29,0,278.44,26.44,15-Jul-2025,15-Jun-2026,1.5088331185078474,-294.5929526123937,,,ATHER ENERGY LIMITED,8.09
0,NUVOCOEQN,35.0,NUVOCO,EQ,N,376.4,50549487,348.85,398.0,348.85,341.4,19321530416.01,477.5,276.25,37616799932.57,2026-07-15 16:00:29,0,3.04,19.99,15-Jul-2025,15-Jun-2026,21.172774869109947,-36.25339366515837,,,NUVOCO VISTAS CORPORATION LIMITED,10.25
0,JUSTDIALEQN,-4.15,JUSTDIAL,EQ,N,786.0,23598076,800.0,838.3,782.0,790.15,19295910764.44,957.9,480.5,17274932639.12,2026-07-15 16:00:29,0,-16.49,45.56,15-Jul-2025,15-Jun-2026,17.94550579392421,-63.579604578563995,,,JUST DIAL LIMITED,-0.53
0,ICICIBANKEQN,3.4,ICICIBANK,EQ,N,1411.1,12961648,1412.9,1428.0,1409.2,1407.7,18380005713.44,1500.0,1187.6,10081107439725.57,2026-07-15 16:00:29,0,-1.38,6.29,15-Jul-2025,15-Jun-2026,5.926666666666667,-18.81946783428764,,,ICICI BANK LIMITED,0.24
0,HDFCBANKEQN,5.6,HDFCBANK,EQ,N,815.0,21488739,811.0,819.7,809.7,809.4,17523207104.94,1020.5,726.65,12445790876400.16,2026-07-15 16:00:29,0,-18.32,4.84,15-Jul-2025,15-Jun-2026,20.13718765311122,-12.158535746232712,,,HDFC BANK LIMITED,0.69
0,SBINEQN,15.4,SBIN,EQ,N,1030.8,14275394,1015.5,1036.0,1013.7,1015.4,14676960833.22,1234.7,786.55,4248840222742.53,2026-07-15 16:00:29,0,26.25,0.97,15-Jul-2025,15-Jun-2026,16.51413298777031,-31.05333418091666,,,STATE BANK OF INDIA,1.52
